sum_Gross_Profit_ok,sum_Sales_Total_ok
-1381.86,1460.99
-1381.12,143.48
-1376.3,3116.47
-1375.05,4070.73
-1374.36,1249.49
-1373.95,7384.18
-1371.55,10386.53
-1370.86,4314.48
-1370.21,3846.5
-1370.17,4083.12
-1368.31,2123.34
-1367.72,182.92
-1367.17,5796.52
-1365.67,3799.62
-1363.95,3656.25
-1360.22,2234.02
-1359.27,4257.38
-1358.9,653.54
-1358,2307.19
-1356.42,1586.4
-1354.69,3984.51
-1351.49,1314.99
-1350.02,3537.67
-1348.5,847.82
-1347.51,1695.48
-1344.87,4781.21
-1344.58,3904.12
-1343.67,1617.11
-1342.73,3367.24
-1342.46,1915.44
-1340.34,1834.96
-1340.25,2081.57
-1339.59,3358.91
-1338.59,760.26
-1333.17,3454.77
-1332.22,3706.53
-1331.87,4475
-1328.32,2114.38
-1321,3699.2
-1320.2,3805.43
-1318.46,1684.36
-1317.25,1837.44
-1309.73,1270.28
-1309.57,1916.03
-1309.19,2524.73
-1307.99,3598.25
-1307.89,313.13
-1304.71,4824.93
-1303.99,2895.87
-1303.75,3572.74
-1301.63,5360.66
-1297.88,4271.44
-1296.15,16340.97
-1294.84,1707.98
-1293.33,759.89
-1291.81,1990.34
-1291.19,16345.93
-1290.46,3403.5
-1287.95,1854.54
-1286.43,1095.11
-1285.99,1937.67
-1285.92,5018.85
-1285.67,161.59
-1284.5,851.01
-1283.68,283.31
-1283.11,3253.16
-1279.85,1378.81
-1274.35,2009.05
-1274.02,669.02
-1272.73,294.26
-1271.17,3987.66
-1269.55,4183.74
-1269.19,3139.72
-1268.6,693.37
-1267.69,4722.66
-1266.87,2932.99
-1266.33,1644.36
-1265.89,2318.04
-1265.49,1272.32
-1261.37,3346.54
-1259.82,613.83
-1259.22,6045.07
-1254.72,123.72
-1254.35,2966.13
-1254.3,6366.65
-1253.85,6177.29
-1253.56,9112.75
-1252.92,3504.2
-1251.79,3873.84
-1251.76,3262.12
-1250.9,1640.9
-1249.39,1264.46
-1249.07,2653.33
-1246.47,2867.42
-1244.69,1864.45
-1243.24,1157.39
-1243.04,673.3
-1241.68,1948.79
-1240.27,1966.77
-1239.08,10012.23
-1237.92,3558.42
-1237.42,20515.03
-1235.9,2206.8
-1233.97,3316.4
-1230.86,4211
-1227.18,5211.56
-1227.11,2401.46
-1225.62,3161.79
-1225.35,2762.2
-1224.82,3732.25
-1223.09,3486.88
-1222.24,997.94
-1219.52,1879.89
-1218.88,3351.55
-1218.54,5043.42
-1215.67,5232.83
-1215.47,1206.55
-1215.14,112.24
-1214.46,2575.99
-1214.33,5385.37
-1210.83,3554.22
-1210.18,2198.24
-1205.81,3932.34
-1204.8,5919
-1202.41,1970.94
-1202.13,3971.36
-1200.1,4281.13
-1196.52,1251.18
-1196.07,3991.99
-1195.29,783.96
-1193.81,3642.57
-1193.59,2422.51
-1192.75,8119.99
-1192.16,4219.1
-1189.63,1952.86
-1189.07,10297.84
-1188.82,2702.3
-1188.8,3258.11
-1188.66,3801.24
-1188.57,5074.07
-1187.35,1338.78
-1187.35,3985.25
-1187.16,720.17
-1185.32,136
-1185.1,1862.13
-1184.59,3718.99
-1181.1,3171.6
-1179.64,164.25
-1179.39,1069.85
-1177.08,5443.16
-1176.28,750.89
-1172.75,171.14
-1171.85,1830.97
-1171.66,794.58
-1169.09,3958.76
-1168.92,3839.54
-1168.69,3249.09
-1167.85,3533.97
-1166.16,1500.32
-1166.14,658.94
-1165.78,1636.01
-1163.21,744.12
-1162.45,3288.77
-1161.23,3658.16
-1161.07,1492.58
-1161.04,1654.08
-1160.44,3161.95
-1160.23,5232.22
-1159.93,2792.88
-1155.9,1820.94
-1154.24,5175.34
-1154.16,1610.64
-1153.81,3875.88
-1152.83,6978.07
-1152.71,582.15
-1152.34,1754.58
-1151.77,1361.89
-1151.73,4225.77
-1151.33,140.87
-1150.55,3637.39
-1148.93,3440.27
-1148.69,2467.41
-1148.29,3041.16
-1148.19,883.15
-1148.13,4166.82
-1147.59,1243.45
-1147.52,2591.52
-1147.46,3630.39
-1147.39,1168
-1146.12,2877.71
-1145.01,2286.15
-1144.8,131.53
-1143.74,2598.68
-1143.36,4550.06
-1143.15,261.73
-1142.78,2805.41
-1142.62,133.71
-1142.49,1606.4
-1142.26,1909.22
-1140.77,3142.8
-1140.56,6029.44
-1140.27,786.9
-1139.39,3907.85
-1139.15,3081.33
-1138.29,1665.88
-1138.06,670.88
-1136.92,3764.28
-1136.14,1866.66
-1134.91,14022.6
-1134.18,1845.42
-1134.12,4291.56
-1134.05,2040.95
-1133.72,2694.04
-1131.23,4334.45
-1130.84,7688.34
-1130.78,4018.29
-1130.66,1465.52
-1130.15,162.05
-1129.66,3909.09
-1129.51,5002
-1128.68,4313.18
-1128.13,651.33
-1126.56,15615.89
-1126.35,4046.25
-1126.11,3279.52
-1125.8,3365.38
-1123.99,5385.45
-1123.05,803.87
-1122.64,4595.42
-1122.44,1418.72
-1122.27,1088.83
-1120.42,965.2
-1120.17,1225.52
-1119.28,2104.38
-1118.62,2435.73
-1117.64,4360.31
-1115.99,2900.17
-1115.69,3000.87
-1114.01,1796.68
-1113.45,2965.5
-1110.5,6615.98
-1110.4,9017.66
-1108.73,2681.72
-1102.98,2261.48
-1102.29,3596.21
-1102.13,1496.1
-1102.13,1742.41
-1101.41,1439.75
-1101.2,1280.34
-1101.15,3919.05
-1099.46,951.31
-1097.98,3831.4
-1096.97,2805.42
-1096.87,4182.78
-1096.36,921.99
-1096.04,7136.49
-1095.71,922.64
-1095.7,1290.09
-1095.67,5296.78
-1093.6,6190.76
-1091.22,994.4
-1089.79,4644.87
-1088.74,1660.15
-1088.54,5483.96
-1087.34,3290.8
-1086.52,1943.72
-1086.35,6076.07
-1086.23,154.28
-1085.53,2135.47
-1085.52,154.99
-1084.76,3011.16
-1084.73,634.09
-1082.96,4210.49
-1082.05,1634.49
-1080.41,3848.97
-1079.22,1103.86
-1077.6,4839.52
-1077.24,745.76
-1077.16,1158.53
-1077.05,2505.18
-1076.21,1647.28
-1072.97,750.03
-1071.73,3421.04
-1070.66,2237.39
-1070.4,4473.76
-1069.95,2024.76
-1068.66,1378.96
-1068.56,985.86
-1068,3828.34
-1067.97,4042.7
-1067.5,3361.63
-1067.14,2546.02
-1067.13,609.01
-1065.93,664.36
-1065.93,9482.17
-1065,1326.04
-1064.61,2674.43
-1063.41,6732.49
-1063.21,2790.4
-1062.78,4430.96
-1062.75,5038.69
-1062.71,3004.99
-1061.96,1517.97
-1061.67,6933.52
-1059.3,2793.3
-1059.2,3893.16
-1055.51,1061.42
-1055.2,1061.73
-1053.57,2848.83
-1053.5,3397.72
-1052.02,6110.4
-1051.73,1481.88
-1050.09,5368.51
-1049.94,5307.96
-1049.33,2246.03
-1049.26,825.82
-1049.13,2095.1
-1048,478.68
-1047.5,7384.54
-1046.87,3069.69
-1045.57,5068.95
-1045.42,838.37
-1045.25,128.97
-1044.46,4865.03
-1044.1,4529.26
-1042.12,126.74
-1041.76,1538.17
-1041.44,976.91
-1041.01,5481.87
-1040.58,2752.54
-1038.26,3636.91
-1037.96,5167.26
-1037.89,1777.23
-1037.6,3680.39
-1036.56,9661.37
-1036.41,3021.38
-1035.94,1728.86
-1035.43,207.35
-1034.67,699.26
-1032.07,519.25
-1030.45,1164.02
-1030.02,2645.88
-1029.4,2221.2
-1028.56,1204.54
-1028.51,1842.31
-1026.89,1569.29
-1024.95,6216.67
-1024.74,3491.71
-1024.67,572.28
-1023.12,1333.42
-1022.85,5535.29
-1021.64,996.71
-1020.55,3808.5
-1020.33,2355.17
-1019.87,1260.66
-1019.41,3180.45
-1019.19,2185.99
-1018.62,3218.42
-1017.76,2375.62
-1017.13,2794.91
-1017.09,1884.2
-1016.5,753.12
-1016.4,1264.13
-1015.38,1613.53
-1015.28,3114.05
-1015.17,8004.45
-1015.15,9006.65
-1014.85,6773.58
-1014.49,3915.66
-1013.32,1556.92
-1013.26,1436.72
-1012.87,12460.47
-1011.52,1895.4
-1010.54,1074.52
-1010.1,1504.35
-1008.64,2472.89
-1008.36,1511.46
-1008.01,7324.7
-1007.4,1506.59
-1007.4,2980.15
-1007.33,3301.29
-1007.31,4007.61
-1006.37,3102.58
-1005.62,7625.7
-1005.43,1867.19
-1004.86,1767.48
-1004.45,2528.03
-1004.23,2125.5
-1003.82,238.96
-1003.7,1300.79
-1001.82,4551.52
-1001.82,7817.45
-1001.53,3291.48
-1000.52,2191.44
-999.14,124.03
-998.7,2831.68
-998.67,3174.35
-998.62,3925.52
-997.44,960.97
-997.11,7809.78
-997.07,126.1
-996.69,2948.14
-995.5,6220.2
-994.73,2636.44
-994.25,1840
-994.12,1122.81
-994.08,5790.49
-993.4,6733.73
-992.81,2233.23
-992.71,3500.61
-992.53,125.51
-992.36,5452.98
-991.98,7698.44
-991.06,1254.39
-990.8,2016.72
-990.68,6593.89
-990.61,5818.74
-990.6,2707.68
-990.58,1830.18
-989.81,3268.56
-989.69,2866.14
-989.4,561.92
-989.04,4636.62
-988.53,2093.55
-988.46,3645.32
-988,1223.43
-986.77,1501.55
-986.72,3503.22
-986.54,2377.92
-986.2,3037.63
-985.99,4270.78
-985.3,2114.11
-984.23,2307.48
-983.35,2656.17
-982.88,3163.09
-982.75,1342.79
-982.71,3644.6
-982.34,3921.37
-982.19,2509.02
-979.25,526.44
-979.07,3509.63
-979.03,1895.46
-978.31,1196.95
-978.23,4601.32
-977.7,7929.59
-976.86,15653.23
-975.48,3621.91
-975.32,2548.56
-975.18,5329.59
-972.77,5682.27
-970.68,6041.44
-969.78,4045.14
-968.41,1942.45
-966.92,1848.2
-966.91,3316.66
-966.74,10937.14
-965.85,2650.77
-965.29,5233.66
-965.18,10462.54
-964.74,4186.25
-964.24,7726.18
-964.05,1059.14
-963.6,5984.72
-963.38,6392.19
-962.14,3390.6
-960.32,3533
-959.47,5549.97
-959.14,2094.91
-958.82,126.63
-958.38,3638.63
-957.86,3964.88
-957.52,874.54
-956.14,2996.67
-955.24,3060.92
-954.62,117.5
-954.49,3174.84
-953.43,506.64
-953.27,2941.55
-952.75,4644.52
-952.27,3294.1
-951.95,3868.88
-951.6,4852.05
-948.96,5177.57
-948.71,118.51
-948.37,1216.45
-947.57,3272.91
-947.02,3578.05
-946.9,4163.77
-946.39,3205.07
-945.85,705.79
-945.34,4044.68
-945.01,823.87
-943.93,3293.11
-943.26,3805.94
-942.23,2345.13
-940.52,144.93
-940.49,144.96
-940.37,3577.81
-940.24,3416.38
-939.7,2415.38
-939.54,3235.1
-939.29,1931.53
-938.73,2381.81
-938.64,2873.84
-936.93,197.78
-936.62,4853.03
-936.51,5796.31
-936.27,5368.5
-935.19,7375.91
-935.15,3064.57
-933.65,10952.01
-933.16,6177.53
-932.55,455.34
-932.41,2206.47
-932.31,628.23
-932.12,7181.6
-932.1,3213.87
-931.41,2294.63
-931.16,3582.79
-930.82,1154.24
-929.81,1054.81
-929.21,1731.06
-929.09,6066.76
-928.79,3812.76
-928.35,3990.97
-927.55,3790.44
-927.48,4352.88
-926.54,2472.59
-926.35,4610.06
-925.64,4796.47
-925.13,5679.59
-924.09,3205.24
-923.97,210.74
-922.69,1663.01
-922.39,3067.56
-920.77,3858.7
-920.45,3489.18
-920.22,1454.1
-919.92,1814.19
-919.55,2951.7
-918.96,1624.6
-918.91,3660.67
-918.38,1875.88
-916.01,5337.48
-915.08,853.8
-914.31,3506.15
-912.81,2621.1
-912.55,4968.51
-912.19,4515.46
-911.94,4913.69
-911.77,4299.88
-911.26,1073.3
-908.92,4707.73
-908.86,877.3
-908.8,1594.98
-908.13,4034.52
-907.78,3726
-907.64,12026.25
-907.43,1660.97
-907.32,841.91
-906.12,9086.49
-904.75,3224.58
-904.47,4208.53
-904.28,1996.41
-902.57,118.49
-902.33,3815.66
-902.17,5456.73
-901.19,4650.07
-900.97,2181.11
-900.64,4056.78
-900.04,2192.17
-899.13,6748.59
-898.73,3690.47
-896.7,3092.31
-895.24,138.52
-894.32,139.44
-894.28,139.48
-893.39,140.37
-893.02,1341.64
-892.96,669.61
-892.94,1042.06
-891.25,1424.07
-890.98,1476.12
-890.71,5031.46
-890.18,7047.16
-889.92,1570.28
-889.23,3099.78
-888.8,1555.36
-888.02,1953.64
-887.17,4177.66
-886.62,3822.92
-885.92,5190.02
-884.71,3631.74
-883.75,3534.51
-883.57,2065.01
-883.23,7555.25
-883.22,5633.63
-883.22,5633.63
-881.82,9681.79
-881.15,2180.83
-880.08,2783.84
-879.8,2601.02
-878.4,4050.98
-877.53,6411.94
-876.5,2215.71
-876.49,3039.27
-876.38,7570.23
-876.02,2008.36
-875.71,1910.02
-874.95,1150.21
-873.88,1151.28
-873.54,1621.1
-872.84,2816.65
-872.8,3278.66
-872.42,2186.63
-871.53,2511.4
-871.41,5184.13
-871.07,497.74
-869.44,1916.29
-869.11,1935.17
-868.13,1343.71
-868.07,1557.47
-867.97,1761.9
-867.81,3962.49
-866.97,910.99
-864.17,3832.3
-863.42,2767.24
-862.64,2751.9
-860.72,8329.08
-860.31,7527.6
-860.06,3063.1
-859.72,110.29
-859.42,4149.04
-859.25,11940.43
-858.8,3681.06
-858.29,2285.94
-857.91,1885.92
-857.56,1457.76
-856.24,3812.36
-855.88,3861.74
-855.85,5349.37
-855.65,10095.92
-855.42,1017.72
-855.27,2837.83
-855.18,1337.08
-854.73,4097.63
-854.12,2585.93
-852.96,2693.72
-852.64,2251.66
-852.47,3749
-851.09,467.4
-850.7,1299.51
-849.24,4404.74
-848.01,843.86
-847.89,4083.19
-846.38,922.5
-845.65,2146.81
-844.18,2477.67
-843.45,6630.31
-843.05,1754.36
-841.71,772.97
-840.88,3349.87
-840.74,3342.12
-840.45,3351.08
-840.02,3878.97
-839.53,3433.27
-839.18,2372.48
-838.72,4678.15
-837.51,3543.48
-837.29,1320.97
-837.16,539.21
-836.97,2451.83
-836.05,2056.67
-835.89,3150.33
-835.31,1065.26
-833.68,1150.88
-833.53,3947.75
-833.39,1131.38
-832.68,2485.71
-832.66,3743.42
-832.65,6730.07
-832.59,194.06
-832.35,2593.08
-830.85,3784.22
-829.26,4249.58
-828.79,1801.08
-828.74,3977.22
-827.81,86.95
-825.64,3106.02
-825.5,1790.73
-825.27,3771.74
-824.85,4580.32
-824.71,6459.65
-824.29,4389.68
-823.2,5672.94
-823,3888.03
-821.39,2604.04
-821.22,4009.25
-821.17,3058.28
-820.84,1661.95
-820.78,2494.69
-820.48,6587.7
-819.07,3559.07
-815.79,433.31
-815.29,211.36
-814.93,6150.65
-814.33,4015.99
-812.45,840.38
-811.95,7017.8
-811,1903.71
-810.43,3213.78
-810.15,2395.03
-809.76,5496.81
-809.36,2785.3
-809.36,17024.98
-806.88,846.97
-805.73,3179.66
-805.71,3016.85
-805.07,2315.59
-805.04,774.32
-804.79,2580.67
-804.59,4661.09
-804.49,5648.01
-804.32,5554.58
-803.4,5254.05
-803.22,1660.45
-803.22,1740.34
-802.72,1418.48
-802.67,13681.17
-802.11,4282.43
-801.88,1809.74
-801.62,5274.32
-801.51,5371.98
-801.27,6171.57
-800.38,1974.66
-799.65,854.2
-799.47,5730.76
-799.3,4864.01
-799.04,1715.41
-798.66,1392.15
-797.76,3387.76
-795.75,1316.82
-795.61,1396.65
-795.48,1654.5
-795.33,2437.54
-794.68,3259
-794.24,4320.93
-794.1,2370.43
-793.92,2195.74
-792.97,2359.98
-792.91,2919.97
-791.49,2421.44
-791.25,3827.33
-790.56,3021.92
-790.34,5144.74
-790.21,3198.8
-789.47,1621.61
-788.81,5633.55
-788.31,1530.04
-787.85,549.19
-786.82,2295.26
-785.55,3682.48
-785.21,3451.83
-785.1,3405.65
-784.64,2126.36
-783.46,1824.9
-782.58,1334.09
-782.38,2350.36
-782.37,4530.96
-781.92,4258.52
-781.34,798.02
-781.21,12066.43
-780.8,4957.72
-780.5,3388.49
-780.39,1488.66
-780.32,5554.17
-779.88,1541.15
-779.19,518.53
-778.88,2339.53
-778,2016.26
-777.8,2139.42
-775.91,3304.38
-775.66,3549.87
-774.55,5690.2
-774.27,2254.6
-774,1153.86
-773.5,3173.21
-772.7,1949.06
-772.49,2289.49
-772.04,5136.92
-771.68,2842.86
-771.17,6555.85
-769.64,11878.42
-769.08,2479.86
-768.12,6967.16
-767.96,2714.36
-767.95,3395.29
-767.3,4255.95
-767.25,504.3
-767.04,2181.44
-766.84,4321.01
-764.91,1685.07
-764.91,6139.34
-763.42,3333.52
-763.18,5777.88
-763.14,5790.88
-762.88,4648.89
-762.45,2701.69
-761.32,2697.39
-761.3,8145.99
-760.57,6551.02
-760.12,2414.22
-760,1666.14
-759.72,2861.66
-759.72,6803
-759.56,4501.46
-759.17,3623.19
-758.77,1756.11
-758.66,595.57
-758.33,1066.09
-758.25,2034.72
-756.85,963.1
-756.49,423.21
-756.14,2025.87
-756.03,4883.47
-755.19,815.83
-754.94,725.18
-754.45,2704.26
-754.05,1985.58
-753.91,809.88
-753.69,3200.65
-753.38,2220.86
-753.37,2444.81
-753.29,768.25
-752.6,2851.17
-752.6,10690.89
-752.55,2999.94
-752.13,126.57
-751.76,2732.36
-750.85,1204.47
-750.83,3400.63
-750.58,1961.49
-749.2,1782.43
-747.95,2592.68
-747.65,3237.35
-747.49,883.96
-747.35,665.49
-747.21,10738.5
-746.75,3239.47
-746.72,2217.88
-746.47,3490.02
-745.53,5250.91
-745,5428.49
-744.13,6412.21
-743.47,6148.88
-741.94,949.93
-741.6,1980.16
-741.41,7148.91
-741.34,1669.74
-740.07,4560.22
-739.38,519.01
-739.11,4740.11
-738.87,1453.39
-738.42,9736.99
-738.06,3286.15
-737.98,3715.66
-737.26,2556.99
-735.27,2417.68
-735.14,6089.04
-734.37,2795.55
-734.3,3453.27
-734.21,1442.14
-734.04,2166.65
-733.93,4346.79
-733.82,3294.23
-733.17,4087.66
-731.84,3121.08
-731.69,5098.18
-731.27,2073.01
-730.8,5496.99
-730.34,1957.98
-730.28,3132.96
-730.05,3171.08
-729.67,4182.8
-729.19,2052.82
-728.97,5164.64
-728.77,2921.39
-728.61,4368.01
-728.12,1622.34
-727.59,851.77
-727.14,918.3
-726.96,191.62
-726.1,3312.4
-725.93,4777.7
-725.8,567.05
-725.35,906.1
-725.33,2057.83
-724.67,967.2
-723.6,11034.48
-721.13,4066.15
-720.41,3484.43
-720.07,2815.54
-718.94,5524.8
-718.88,3065.43
-718.37,2035.15
-718.25,1322.82
-717.49,2345.55
-717.24,5350.61
-716.35,2911.55
-716.11,1918.21
-715.83,1396.74
-715.76,4046.64
-715.49,2236.1
-714.82,543.57
-714.31,3231.43
-714.14,631.42
-711.73,5285.37
-711.02,2735.88
-710.75,116.26
-710.54,2502.39
-708.71,4404.96
-708.35,3740.62
-708.28,1990.39
-708.13,8698.33
-707.84,2908.86
-706.95,2359.45
-706.93,2504.41
-706.2,3445.26
-705.89,2249.2
-705.68,1755.02
-705.3,2543.64
-703.92,812.27
-703.57,5086.08
-703.45,437.23
-703.19,4079.28
-702.79,124.22
-702.02,1348.56
-701.92,9042.41
-700.89,4276.92
-700.68,5498.27
-700.48,9517.6
-700.19,1409.5
-699.27,1897.28
-699.1,2616.37
-697.57,2141.34
-697.23,4475.21
-695.19,1024.76
-694.71,6045.98
-694.49,695.35
-694.42,827.12
-694.37,2322.98
-693.78,2100.48
-693.46,877.56
-693.16,4003.31
-693.13,4237.02
-692.43,1188.08
-692.26,4879.62
-692.22,3316.73
-691.91,4713.26
-691.76,4380.06
-691.6,1764.06
-691.43,852.32
-689.21,4273.35
-688.79,3174.45
-688.44,1898.3
-688.41,4522.93
-688.26,1267.82
-688.1,2771.52
-688.02,724.82
-687.87,13486.29
-687.22,2788.04
-686.66,5361.51
-686.46,3532.78
-686.19,9551.14
-686.1,3760.82
-685.93,1523.5
-685.09,2994.59
-684.89,2181.82
-684.81,1350.04
-684.77,3338.98
-684.59,1818.78
-684.5,364.92
-684.12,2056.49
-683.91,3661.06
-683.08,2023.26
-682.34,92.98
-681.31,183.23
-680.68,4982.63
-679.63,11083.12
-679.55,3033.33
-679.47,7647.97
-678.15,6136.67
-677.77,2318.7
-677.44,1543.76
-676.63,1906.02
-675.6,2165.48
-675.12,2438.48
-674.81,4713.25
-674.69,2478.26
-674.67,610.88
-674.18,1885.77
-674.12,1053.84
-674.01,5681.66
-673.46,10468.88
-673.05,3277.96
-672.79,930.73
-672.69,3685.01
-672.43,5993.74
-672.38,1331.82
-672.2,4224.14
-671.75,1996.88
-670.93,1640.63
-670.91,3326.72
-670.83,2018.45
-670.54,2039.33
-670.36,2593.49
-670.31,7415.41
-669.89,4228.73
-669.38,5007.69
-668.18,985.62
-667.85,7599.95
-667.66,2296.53
-667.29,1184.97
-666.84,4798.84
-666.22,6040.22
-666.13,4712.81
-665.93,1188.75
-665.89,1996.46
-665.16,1917.49
-664.59,2841.47
-663.87,662.79
-663.7,2783.2
