none_ID_ok,none_Organ_nk,none_Species_nk,sum_Length_ok,sum_Width_ok
87,Petal,I. Versicolor,36,13
88,Sepal,I. Setosa,57,38
89,Sepal,I. Verginica,69,31
90,Sepal,I. Versicolor,56,29
91,Petal,I. Setosa,15,4
92,Petal,I. Verginica,61,25
93,Petal,I. Versicolor,44,14
94,Sepal,I. Setosa,51,37
95,Sepal,I. Verginica,72,36
96,Sepal,I. Versicolor,66,30
97,Petal,I. Setosa,13,2
98,Petal,I. Verginica,55,21
99,Petal,I. Versicolor,50,17
100,Sepal,I. Setosa,55,35
101,Sepal,I. Verginica,68,30
102,Sepal,I. Versicolor,67,30
103,Petal,I. Setosa,13,2
104,Petal,I. Verginica,56,22
105,Petal,I. Versicolor,45,15
106,Sepal,I. Setosa,44,30
107,Sepal,I. Verginica,64,28
108,Sepal,I. Versicolor,62,22
109,Petal,I. Setosa,16,2
110,Petal,I. Verginica,51,15
111,Petal,I. Versicolor,46,14
112,Sepal,I. Setosa,47,32
113,Sepal,I. Verginica,63,28
114,Sepal,I. Versicolor,61,30
115,Petal,I. Setosa,12,2
116,Petal,I. Verginica,59,23
117,Petal,I. Versicolor,39,11
118,Sepal,I. Setosa,50,32
119,Sepal,I. Verginica,68,32
120,Sepal,I. Versicolor,56,25
121,Petal,I. Setosa,11,1
122,Petal,I. Verginica,54,23
123,Petal,I. Versicolor,45,15
124,Sepal,I. Setosa,43,30
125,Sepal,I. Verginica,62,34
126,Sepal,I. Versicolor,64,32
127,Petal,I. Setosa,14,2
128,Petal,I. Verginica,57,25
129,Petal,I. Versicolor,45,15
130,Sepal,I. Setosa,51,35
131,Sepal,I. Verginica,67,33
132,Sepal,I. Versicolor,54,30
133,Petal,I. Setosa,16,4
134,Petal,I. Verginica,51,18
135,Petal,I. Versicolor,44,14
136,Sepal,I. Setosa,50,34
137,Sepal,I. Verginica,59,30
138,Sepal,I. Versicolor,67,31
139,Petal,I. Setosa,15,1
140,Petal,I. Verginica,53,23
141,Petal,I. Versicolor,35,10
142,Sepal,I. Setosa,52,41
143,Sepal,I. Verginica,64,32
144,Sepal,I. Versicolor,57,26
145,Petal,I. Setosa,15,2
146,Petal,I. Verginica,57,21
147,Petal,I. Versicolor,42,13
148,Sepal,I. Setosa,49,31
149,Sepal,I. Verginica,67,33
150,Sepal,I. Versicolor,57,26
151,Petal,I. Setosa,17,4
152,Petal,I. Verginica,60,18
153,Petal,I. Versicolor,42,13
154,Sepal,I. Setosa,54,39
155,Sepal,I. Verginica,72,32
156,Sepal,I. Versicolor,56,27
157,Petal,I. Setosa,13,2
158,Petal,I. Verginica,49,18
159,Petal,I. Versicolor,45,16
160,Sepal,I. Setosa,47,32
161,Sepal,I. Verginica,61,30
162,Sepal,I. Versicolor,60,34
163,Petal,I. Setosa,15,2
164,Petal,I. Verginica,61,23
165,Petal,I. Versicolor,35,10
166,Sepal,I. Setosa,51,34
167,Sepal,I. Verginica,77,30
168,Sepal,I. Versicolor,50,20
169,Petal,I. Setosa,15,1
170,Petal,I. Verginica,48,18
171,Petal,I. Versicolor,54,13
172,Sepal,I. Setosa,49,31
173,Sepal,I. Verginica,60,30
174,Sepal,I. Versicolor,62,29
175,Petal,I. Setosa,15,2
176,Petal,I. Verginica,51,20
177,Petal,I. Versicolor,50,10
178,Sepal,I. Setosa,54,37
179,Sepal,I. Verginica,65,32
180,Sepal,I. Versicolor,60,22
181,Petal,I. Setosa,13,4
182,Petal,I. Verginica,60,25
183,Petal,I. Versicolor,47,12
184,Sepal,I. Setosa,54,39
185,Sepal,I. Verginica,63,33
186,Sepal,I. Versicolor,61,28
187,Petal,I. Setosa,13,3
188,Petal,I. Verginica,55,18
189,Petal,I. Versicolor,41,13
190,Sepal,I. Setosa,45,23
191,Sepal,I. Verginica,65,30
192,Sepal,I. Versicolor,57,28
193,Petal,I. Setosa,15,3
194,Petal,I. Verginica,67,22
195,Petal,I. Versicolor,49,15
196,Sepal,I. Setosa,51,38
197,Sepal,I. Verginica,77,38
198,Sepal,I. Versicolor,69,31
199,Petal,I. Setosa,15,2
200,Petal,I. Verginica,66,21
201,Petal,I. Versicolor,40,13
202,Sepal,I. Setosa,52,35
203,Sepal,I. Verginica,76,30
204,Sepal,I. Versicolor,55,25
205,Petal,I. Setosa,14,3
206,Petal,I. Verginica,52,13
207,Petal,I. Versicolor,48,14
208,Sepal,I. Setosa,46,34
209,Sepal,I. Verginica,67,30
210,Sepal,I. Versicolor,68,28
211,Petal,I. Setosa,17,5
212,Petal,I. Verginica,64,20
213,Petal,I. Versicolor,46,15
214,Sepal,I. Setosa,51,33
215,Sepal,I. Verginica,79,38
216,Sepal,I. Versicolor,65,28
217,Petal,I. Setosa,14,2
218,Petal,I. Verginica,67,20
219,Petal,I. Versicolor,48,18
220,Sepal,I. Setosa,52,34
221,Sepal,I. Verginica,77,28
222,Sepal,I. Versicolor,59,32
223,Petal,I. Setosa,16,6
224,Petal,I. Verginica,56,14
225,Petal,I. Versicolor,51,16
226,Sepal,I. Setosa,50,35
227,Sepal,I. Verginica,61,26
228,Sepal,I. Versicolor,60,27
229,Petal,I. Setosa,14,3
230,Petal,I. Verginica,48,18
231,Petal,I. Versicolor,40,13
232,Sepal,I. Setosa,48,30
233,Sepal,I. Verginica,62,28
234,Sepal,I. Versicolor,61,28
235,Petal,I. Setosa,19,2
236,Petal,I. Verginica,56,24
237,Petal,I. Versicolor,38,11
238,Sepal,I. Setosa,48,34
239,Sepal,I. Verginica,63,34
240,Sepal,I. Versicolor,55,24
241,Petal,I. Setosa,12,2
242,Petal,I. Verginica,58,16
243,Petal,I. Versicolor,44,12
244,Sepal,I. Setosa,58,40
245,Sepal,I. Verginica,72,30
246,Sepal,I. Versicolor,55,26
247,Petal,I. Setosa,14,2
248,Petal,I. Verginica,59,21
249,Petal,I. Versicolor,45,15
250,Sepal,I. Setosa,46,32
251,Sepal,I. Verginica,71,30
252,Sepal,I. Versicolor,56,30
253,Petal,I. Setosa,15,4
254,Petal,I. Verginica,56,18
255,Petal,I. Versicolor,42,12
256,Sepal,I. Setosa,57,44
257,Sepal,I. Verginica,63,29
258,Sepal,I. Versicolor,57,30
259,Petal,I. Setosa,15,2
260,Petal,I. Verginica,69,23
261,Petal,I. Versicolor,56,13
262,Sepal,I. Setosa,52,34
263,Sepal,I. Verginica,77,26
264,Sepal,I. Versicolor,66,29
265,Petal,I. Setosa,15,2
266,Petal,I. Verginica,61,19
267,Petal,I. Versicolor,37,10
268,Sepal,I. Setosa,46,31
269,Sepal,I. Verginica,74,28
270,Sepal,I. Versicolor,55,24
271,Petal,I. Setosa,13,3
272,Petal,I. Verginica,63,18
273,Petal,I. Versicolor,47,15
274,Sepal,I. Setosa,50,35
275,Sepal,I. Verginica,73,29
276,Sepal,I. Versicolor,67,31
277,Petal,I. Setosa,14,3
278,Petal,I. Verginica,58,22
279,Petal,I. Versicolor,41,13
280,Sepal,I. Setosa,51,35
281,Sepal,I. Verginica,65,30
282,Sepal,I. Versicolor,56,30
283,Petal,I. Setosa,16,2
284,Petal,I. Verginica,53,19
285,Petal,I. Versicolor,43,13
286,Sepal,I. Setosa,48,34
287,Sepal,I. Verginica,64,27
288,Sepal,I. Versicolor,64,29
289,Petal,I. Setosa,17,2
290,Petal,I. Verginica,50,20
291,Petal,I. Versicolor,47,14
292,Sepal,I. Setosa,54,34
293,Sepal,I. Verginica,57,25
294,Sepal,I. Versicolor,61,29
295,Petal,I. Setosa,15,2
296,Petal,I. Verginica,51,24
297,Petal,I. Versicolor,40,13
298,Sepal,I. Setosa,53,37
299,Sepal,I. Verginica,58,28
300,Sepal,I. Versicolor,55,23
