none_Case_ok,none_Organ_nk,none_Species_nk,sum_Length_ok,sum_Number_of_Records_ok,sum_Width_ok,sum_birst_constant_one_ok,sum_row_ok
11,Sepal,I. Setosa,54,1,34,\N,\N
11,Sepal,I. Verginica,60,1,22,\N,\N
11,Sepal,I. Versicolor,59,1,30,\N,\N
12,Petal,I. Setosa,14,1,2,\N,\N
12,Petal,I. Verginica,57,1,23,\N,\N
12,Petal,I. Versicolor,44,1,13,\N,\N
12,Sepal,I. Setosa,55,1,42,\N,\N
12,Sepal,I. Verginica,69,1,32,\N,\N
12,Sepal,I. Versicolor,63,1,23,\N,\N
13,Petal,I. Setosa,14,1,2,\N,\N
13,Petal,I. Verginica,49,1,20,\N,\N
13,Petal,I. Versicolor,49,1,15,\N,\N
13,Sepal,I. Setosa,44,1,29,\N,\N
13,Sepal,I. Verginica,56,1,28,\N,\N
13,Sepal,I. Versicolor,63,1,25,\N,\N
14,Petal,I. Setosa,14,1,1,\N,\N
14,Petal,I. Verginica,58,1,18,\N,\N
14,Petal,I. Versicolor,30,1,11,\N,\N
14,Sepal,I. Setosa,48,1,30,\N,\N
14,Sepal,I. Verginica,67,1,25,\N,\N
14,Sepal,I. Versicolor,51,1,25,\N,\N
15,Petal,I. Setosa,17,1,3,\N,\N
15,Petal,I. Verginica,54,1,21,\N,\N
15,Petal,I. Versicolor,36,1,13,\N,\N
15,Sepal,I. Setosa,57,1,38,\N,\N
15,Sepal,I. Verginica,69,1,31,\N,\N
15,Sepal,I. Versicolor,56,1,29,\N,\N
16,Petal,I. Setosa,15,1,4,\N,\N
16,Petal,I. Verginica,61,1,25,\N,\N
16,Petal,I. Versicolor,44,1,14,\N,\N
16,Sepal,I. Setosa,51,1,37,\N,\N
16,Sepal,I. Verginica,72,1,36,\N,\N
16,Sepal,I. Versicolor,66,1,30,\N,\N
17,Petal,I. Setosa,13,1,2,\N,\N
17,Petal,I. Verginica,55,1,21,\N,\N
17,Petal,I. Versicolor,50,1,17,\N,\N
17,Sepal,I. Setosa,55,1,35,\N,\N
17,Sepal,I. Verginica,68,1,30,\N,\N
17,Sepal,I. Versicolor,67,1,30,\N,\N
18,Petal,I. Setosa,13,1,2,\N,\N
18,Petal,I. Verginica,56,1,22,\N,\N
18,Petal,I. Versicolor,45,1,15,\N,\N
18,Sepal,I. Setosa,44,1,30,\N,\N
18,Sepal,I. Verginica,64,1,28,\N,\N
18,Sepal,I. Versicolor,62,1,22,\N,\N
19,Petal,I. Setosa,16,1,2,\N,\N
19,Petal,I. Verginica,51,1,15,\N,\N
19,Petal,I. Versicolor,46,1,14,\N,\N
19,Sepal,I. Setosa,47,1,32,\N,\N
19,Sepal,I. Verginica,63,1,28,\N,\N
19,Sepal,I. Versicolor,61,1,30,\N,\N
20,Petal,I. Setosa,12,1,2,\N,\N
20,Petal,I. Verginica,59,1,23,\N,\N
20,Petal,I. Versicolor,39,1,11,\N,\N
20,Sepal,I. Setosa,50,1,32,\N,\N
20,Sepal,I. Verginica,68,1,32,\N,\N
20,Sepal,I. Versicolor,56,1,25,\N,\N
21,Petal,I. Setosa,11,1,1,\N,\N
21,Petal,I. Verginica,54,1,23,\N,\N
21,Petal,I. Versicolor,45,1,15,\N,\N
21,Sepal,I. Setosa,43,1,30,\N,\N
21,Sepal,I. Verginica,62,1,34,\N,\N
21,Sepal,I. Versicolor,64,1,32,\N,\N
22,Petal,I. Setosa,14,1,2,\N,\N
22,Petal,I. Verginica,57,1,25,\N,\N
22,Petal,I. Versicolor,45,1,15,\N,\N
22,Sepal,I. Setosa,51,1,35,\N,\N
22,Sepal,I. Verginica,67,1,33,\N,\N
22,Sepal,I. Versicolor,54,1,30,\N,\N
23,Petal,I. Setosa,16,1,4,\N,\N
23,Petal,I. Verginica,51,1,18,\N,\N
23,Petal,I. Versicolor,44,1,14,\N,\N
23,Sepal,I. Setosa,50,1,34,\N,\N
23,Sepal,I. Verginica,59,1,30,\N,\N
23,Sepal,I. Versicolor,67,1,31,\N,\N
24,Petal,I. Setosa,15,1,1,\N,\N
24,Petal,I. Verginica,53,1,23,\N,\N
24,Petal,I. Versicolor,35,1,10,\N,\N
24,Sepal,I. Setosa,52,1,41,\N,\N
24,Sepal,I. Verginica,64,1,32,\N,\N
24,Sepal,I. Versicolor,57,1,26,\N,\N
25,Petal,I. Setosa,15,1,2,\N,\N
25,Petal,I. Verginica,57,1,21,\N,\N
25,Petal,I. Versicolor,42,1,13,\N,\N
25,Sepal,I. Setosa,49,1,31,\N,\N
25,Sepal,I. Verginica,67,1,33,\N,\N
25,Sepal,I. Versicolor,57,1,26,\N,\N
26,Petal,I. Setosa,17,1,4,\N,\N
26,Petal,I. Verginica,60,1,18,\N,\N
26,Petal,I. Versicolor,42,1,13,\N,\N
26,Sepal,I. Setosa,54,1,39,\N,\N
26,Sepal,I. Verginica,72,1,32,\N,\N
26,Sepal,I. Versicolor,56,1,27,\N,\N
27,Petal,I. Setosa,13,1,2,\N,\N
27,Petal,I. Verginica,49,1,18,\N,\N
27,Petal,I. Versicolor,45,1,16,\N,\N
27,Sepal,I. Setosa,47,1,32,\N,\N
27,Sepal,I. Verginica,61,1,30,\N,\N
27,Sepal,I. Versicolor,60,1,34,\N,\N
28,Petal,I. Setosa,15,1,2,\N,\N
28,Petal,I. Verginica,61,1,23,\N,\N
28,Petal,I. Versicolor,35,1,10,\N,\N
28,Sepal,I. Setosa,51,1,34,\N,\N
28,Sepal,I. Verginica,77,1,30,\N,\N
28,Sepal,I. Versicolor,50,1,20,\N,\N
29,Petal,I. Setosa,15,1,1,\N,\N
29,Petal,I. Verginica,48,1,18,\N,\N
29,Petal,I. Versicolor,54,1,13,\N,\N
29,Sepal,I. Setosa,49,1,31,\N,\N
29,Sepal,I. Verginica,60,1,30,\N,\N
29,Sepal,I. Versicolor,62,1,29,\N,\N
30,Petal,I. Setosa,15,1,2,\N,\N
30,Petal,I. Verginica,51,1,20,\N,\N
30,Petal,I. Versicolor,50,1,10,\N,\N
30,Sepal,I. Setosa,54,1,37,\N,\N
30,Sepal,I. Verginica,65,1,32,\N,\N
30,Sepal,I. Versicolor,60,1,22,\N,\N
31,Petal,I. Setosa,13,1,4,\N,\N
31,Petal,I. Verginica,60,1,25,\N,\N
31,Petal,I. Versicolor,47,1,12,\N,\N
31,Sepal,I. Setosa,54,1,39,\N,\N
31,Sepal,I. Verginica,63,1,33,\N,\N
31,Sepal,I. Versicolor,61,1,28,\N,\N
32,Petal,I. Setosa,13,1,3,\N,\N
32,Petal,I. Verginica,55,1,18,\N,\N
32,Petal,I. Versicolor,41,1,13,\N,\N
32,Sepal,I. Setosa,45,1,23,\N,\N
32,Sepal,I. Verginica,65,1,30,\N,\N
32,Sepal,I. Versicolor,57,1,28,\N,\N
33,Petal,I. Setosa,15,1,3,\N,\N
33,Petal,I. Verginica,67,1,22,\N,\N
33,Petal,I. Versicolor,49,1,15,\N,\N
33,Sepal,I. Setosa,51,1,38,\N,\N
33,Sepal,I. Verginica,77,1,38,\N,\N
33,Sepal,I. Versicolor,69,1,31,\N,\N
34,Petal,I. Setosa,15,1,2,\N,\N
34,Petal,I. Verginica,66,1,21,\N,\N
34,Petal,I. Versicolor,40,1,13,\N,\N
34,Sepal,I. Setosa,52,1,35,\N,\N
34,Sepal,I. Verginica,76,1,30,\N,\N
34,Sepal,I. Versicolor,55,1,25,\N,\N
35,Petal,I. Setosa,14,1,3,\N,\N
35,Petal,I. Verginica,52,1,13,\N,\N
35,Petal,I. Versicolor,48,1,14,\N,\N
35,Sepal,I. Setosa,46,1,34,\N,\N
35,Sepal,I. Verginica,67,1,30,\N,\N
35,Sepal,I. Versicolor,68,1,28,\N,\N
36,Petal,I. Setosa,17,1,5,\N,\N
36,Petal,I. Verginica,64,1,20,\N,\N
36,Petal,I. Versicolor,46,1,15,\N,\N
36,Sepal,I. Setosa,51,1,33,\N,\N
36,Sepal,I. Verginica,79,1,38,\N,\N
36,Sepal,I. Versicolor,65,1,28,\N,\N
37,Petal,I. Setosa,14,1,2,\N,\N
37,Petal,I. Verginica,67,1,20,\N,\N
37,Petal,I. Versicolor,48,1,18,\N,\N
37,Sepal,I. Setosa,52,1,34,\N,\N
37,Sepal,I. Verginica,77,1,28,\N,\N
37,Sepal,I. Versicolor,59,1,32,\N,\N
38,Petal,I. Setosa,16,1,6,\N,\N
38,Petal,I. Verginica,56,1,14,\N,\N
38,Petal,I. Versicolor,51,1,16,\N,\N
38,Sepal,I. Setosa,50,1,35,\N,\N
38,Sepal,I. Verginica,61,1,26,\N,\N
38,Sepal,I. Versicolor,60,1,27,\N,\N
39,Petal,I. Setosa,14,1,3,\N,\N
39,Petal,I. Verginica,48,1,18,\N,\N
39,Petal,I. Versicolor,40,1,13,\N,\N
39,Sepal,I. Setosa,48,1,30,\N,\N
39,Sepal,I. Verginica,62,1,28,\N,\N
39,Sepal,I. Versicolor,61,1,28,\N,\N
40,Petal,I. Setosa,19,1,2,\N,\N
40,Petal,I. Verginica,56,1,24,\N,\N
40,Petal,I. Versicolor,38,1,11,\N,\N
40,Sepal,I. Setosa,48,1,34,\N,\N
40,Sepal,I. Verginica,63,1,34,\N,\N
40,Sepal,I. Versicolor,55,1,24,\N,\N
41,Petal,I. Setosa,12,1,2,\N,\N
41,Petal,I. Verginica,58,1,16,\N,\N
41,Petal,I. Versicolor,44,1,12,\N,\N
41,Sepal,I. Setosa,58,1,40,\N,\N
41,Sepal,I. Verginica,72,1,30,\N,\N
41,Sepal,I. Versicolor,55,1,26,\N,\N
42,Petal,I. Setosa,14,1,2,\N,\N
42,Petal,I. Verginica,59,1,21,\N,\N
42,Petal,I. Versicolor,45,1,15,\N,\N
42,Sepal,I. Setosa,46,1,32,\N,\N
42,Sepal,I. Verginica,71,1,30,\N,\N
42,Sepal,I. Versicolor,56,1,30,\N,\N
43,Petal,I. Setosa,15,1,4,\N,\N
43,Petal,I. Verginica,56,1,18,\N,\N
43,Petal,I. Versicolor,42,1,12,\N,\N
43,Sepal,I. Setosa,57,1,44,\N,\N
43,Sepal,I. Verginica,63,1,29,\N,\N
43,Sepal,I. Versicolor,57,1,30,\N,\N
44,Petal,I. Setosa,15,1,2,\N,\N
44,Petal,I. Verginica,69,1,23,\N,\N
44,Petal,I. Versicolor,56,1,13,\N,\N
44,Sepal,I. Setosa,52,1,34,\N,\N
44,Sepal,I. Verginica,77,1,26,\N,\N
44,Sepal,I. Versicolor,66,1,29,\N,\N
45,Petal,I. Setosa,15,1,2,\N,\N
45,Petal,I. Verginica,61,1,19,\N,\N
45,Petal,I. Versicolor,37,1,10,\N,\N
45,Sepal,I. Setosa,46,1,31,\N,\N
45,Sepal,I. Verginica,74,1,28,\N,\N
45,Sepal,I. Versicolor,55,1,24,\N,\N
46,Petal,I. Setosa,13,1,3,\N,\N
46,Petal,I. Verginica,63,1,18,\N,\N
46,Petal,I. Versicolor,47,1,15,\N,\N
46,Sepal,I. Setosa,50,1,35,\N,\N
46,Sepal,I. Verginica,73,1,29,\N,\N
46,Sepal,I. Versicolor,67,1,31,\N,\N
47,Petal,I. Setosa,14,1,3,\N,\N
47,Petal,I. Verginica,58,1,22,\N,\N
47,Petal,I. Versicolor,41,1,13,\N,\N
47,Sepal,I. Setosa,51,1,35,\N,\N
47,Sepal,I. Verginica,65,1,30,\N,\N
47,Sepal,I. Versicolor,56,1,30,\N,\N
48,Petal,I. Setosa,16,1,2,\N,\N
48,Petal,I. Verginica,53,1,19,\N,\N
48,Petal,I. Versicolor,43,1,13,\N,\N
48,Sepal,I. Setosa,48,1,34,\N,\N
48,Sepal,I. Verginica,64,1,27,\N,\N
48,Sepal,I. Versicolor,64,1,29,\N,\N
49,Petal,I. Setosa,17,1,2,\N,\N
49,Petal,I. Verginica,50,1,20,\N,\N
49,Petal,I. Versicolor,47,1,14,\N,\N
49,Sepal,I. Setosa,54,1,34,\N,\N
49,Sepal,I. Verginica,57,1,25,\N,\N
49,Sepal,I. Versicolor,61,1,29,\N,\N
50,Petal,I. Setosa,15,1,2,\N,\N
50,Petal,I. Verginica,51,1,24,\N,\N
50,Petal,I. Versicolor,40,1,13,\N,\N
50,Sepal,I. Setosa,53,1,37,\N,\N
50,Sepal,I. Verginica,58,1,28,\N,\N
50,Sepal,I. Versicolor,55,1,23,\N,\N
