none_Order_Date_ok,none_Order_Priority_nk,none_PID_ok,none_Prod_TypeD_nk,sum_Fill_Time_ok
2001-07-22 00:00:00,5-LOW,41720,COMPUTER PAPER,12
2001-07-23 00:00:00,5-LOW,41735,ART SUPPLIES,12
2001-07-25 00:00:00,5-LOW,41768,PENCIL SHARPENERS,12
2001-07-27 00:00:00,5-LOW,41834,WIRELESS AND CELLULAR,12
2001-07-31 00:00:00,5-LOW,41940,BINDER ACCESSORIES,12
2001-08-07 00:00:00,5-LOW,42086,ROUND RING BINDERS,12
2001-08-07 00:00:00,5-LOW,42087,ART SUPPLIES,12
2001-08-08 00:00:00,5-LOW,42098,HIGHLIGHTERS,12
2001-08-09 00:00:00,5-LOW,42112,BINDER ACCESSORIES,12
2001-08-12 00:00:00,5-LOW,42233,COPY PAPER,12
2001-08-14 00:00:00,5-LOW,42268,VACUUM CLEANERS,12
2001-08-22 00:00:00,5-LOW,42457,STATIONARY,12
2001-08-22 00:00:00,5-LOW,42459,SCISSORS,12
2001-08-23 00:00:00,5-LOW,42504,MEDIA,12
2001-08-24 00:00:00,5-LOW,42511,TELEPHONES,12
2001-08-24 00:00:00,5-LOW,42514,BUSINESS ENVELOPES,12
2001-08-26 00:00:00,5-LOW,42563,MODEMS,12
2001-08-28 00:00:00,5-LOW,42594,STATIONARY,12
2001-08-28 00:00:00,5-LOW,42597,BINDER ACCESSORIES,12
2001-08-28 00:00:00,5-LOW,42604,COMPUTER PAPER,12
