none_Call_Center_Region_nk,none_Prod_TypeB_nk,none_Prod_TypeC_nk,none_Ship_Promo_nk,sum_Discount_ok
EAST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,FREE SHIPPING,29.169999999999977
EAST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR SHIPPING,142.16999999999996
EAST,OFFICE SUPPLIES,ENVELOPES,FREE SHIPPING,6.3599999999999985
EAST,OFFICE SUPPLIES,ENVELOPES,REGULAR SHIPPING,34.279999999999994
EAST,OFFICE SUPPLIES,LABELS,FREE SHIPPING,18.759999999999987
EAST,OFFICE SUPPLIES,LABELS,REGULAR SHIPPING,37.819999999999986
EAST,OFFICE SUPPLIES,PAPER,FREE SHIPPING,8.139999999999992
EAST,OFFICE SUPPLIES,PAPER,REGULAR SHIPPING,214.5300000000013
EAST,OFFICE SUPPLIES,PENS & ART SUPPLIES,FREE SHIPPING,1.8500000000000005
EAST,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR SHIPPING,126.5600000000002
EAST,OFFICE SUPPLIES,RUBBER BANDS,REGULAR SHIPPING,31.53000000000002
EAST,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",FREE SHIPPING,1.2000000000000004
EAST,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR SHIPPING,25.779999999999983
EAST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,FREE SHIPPING,5.339999999999998
EAST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR SHIPPING,94.8700000000002
EAST,TECHNOLOGY,COMPUTER PERIPHERALS,FREE SHIPPING,33.89999999999999
EAST,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR SHIPPING,109.77000000000012
EAST,TECHNOLOGY,COPIERS AND FAX,FREE SHIPPING,11.70999999999999
EAST,TECHNOLOGY,COPIERS AND FAX,REGULAR SHIPPING,2.4900000000000015
EAST,TECHNOLOGY,OFFICE MACHINES,FREE SHIPPING,30.92999999999999
EAST,TECHNOLOGY,OFFICE MACHINES,REGULAR SHIPPING,40.18999999999996
EAST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,FREE SHIPPING,102.12999999999997
EAST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR SHIPPING,46.10999999999998
WEST,FURNITURE,BOOKCASES,FREE SHIPPING,0.7
WEST,FURNITURE,BOOKCASES,REGULAR SHIPPING,19.909999999999997
WEST,FURNITURE,CHAIRS & CHAIRMATS,FREE SHIPPING,1.5100000000000007
WEST,FURNITURE,CHAIRS & CHAIRMATS,REGULAR SHIPPING,34.31000000000002
WEST,FURNITURE,OFFICE FURNISHINGS,FREE SHIPPING,1.7100000000000009
WEST,FURNITURE,OFFICE FURNISHINGS,REGULAR SHIPPING,94.94
WEST,FURNITURE,TABLES,REGULAR SHIPPING,35.17
WEST,OFFICE SUPPLIES,APPLIANCES,FREE SHIPPING,11.559999999999986
WEST,OFFICE SUPPLIES,APPLIANCES,REGULAR SHIPPING,37.72000000000002
WEST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,FREE SHIPPING,16.149999999999988
WEST,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR SHIPPING,71.36
WEST,OFFICE SUPPLIES,ENVELOPES,FREE SHIPPING,4.209999999999999
WEST,OFFICE SUPPLIES,ENVELOPES,REGULAR SHIPPING,16.809999999999988
WEST,OFFICE SUPPLIES,LABELS,FREE SHIPPING,10.13999999999999
WEST,OFFICE SUPPLIES,LABELS,REGULAR SHIPPING,17.78999999999998
WEST,OFFICE SUPPLIES,PAPER,FREE SHIPPING,4.769999999999999
WEST,OFFICE SUPPLIES,PAPER,REGULAR SHIPPING,109.40999999999988
WEST,OFFICE SUPPLIES,PENS & ART SUPPLIES,FREE SHIPPING,0.9000000000000001
WEST,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR SHIPPING,65.72
WEST,OFFICE SUPPLIES,RUBBER BANDS,REGULAR SHIPPING,15.509999999999978
WEST,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",FREE SHIPPING,0.5599999999999999
WEST,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR SHIPPING,12.739999999999974
WEST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,FREE SHIPPING,2.61
WEST,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR SHIPPING,54.5499999999999
WEST,TECHNOLOGY,COMPUTER PERIPHERALS,FREE SHIPPING,17.66999999999998
WEST,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR SHIPPING,60.73999999999989
WEST,TECHNOLOGY,COPIERS AND FAX,FREE SHIPPING,7.339999999999998
WEST,TECHNOLOGY,COPIERS AND FAX,REGULAR SHIPPING,1.8700000000000006
WEST,TECHNOLOGY,OFFICE MACHINES,FREE SHIPPING,17.499999999999975
WEST,TECHNOLOGY,OFFICE MACHINES,REGULAR SHIPPING,18.619999999999976
WEST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,FREE SHIPPING,55.59999999999994
WEST,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR SHIPPING,21.080000000000005
