none_Prod_TypeB_nk,sum_Gross_Profit_ok,sum_Sales_Total_ok
FURNITURE,-1214.46,2575.99
FURNITURE,-1214.33,5385.37
FURNITURE,-1210.83,3554.22
FURNITURE,-1210.18,2198.24
FURNITURE,-1205.81,3932.34
FURNITURE,-1204.8,5919
FURNITURE,-1202.41,1970.94
FURNITURE,-1202.13,3971.36
FURNITURE,-1200.1,4281.13
FURNITURE,-1196.52,1251.18
FURNITURE,-1196.07,3991.99
FURNITURE,-1193.81,3642.57
FURNITURE,-1192.75,8119.99
FURNITURE,-1192.16,4219.1
FURNITURE,-1189.07,10297.84
FURNITURE,-1188.82,2702.3
FURNITURE,-1188.8,3258.11
FURNITURE,-1188.66,3801.24
FURNITURE,-1188.57,5074.07
FURNITURE,-1187.35,1338.78
FURNITURE,-1187.35,3985.25
FURNITURE,-1185.1,1862.13
FURNITURE,-1184.59,3718.99
FURNITURE,-1179.39,1069.85
FURNITURE,-1177.08,5443.16
FURNITURE,-1171.66,794.58
FURNITURE,-1169.09,3958.76
FURNITURE,-1166.16,1500.32
FURNITURE,-1166.14,658.94
FURNITURE,-1162.45,3288.77
FURNITURE,-1161.04,1654.08
FURNITURE,-1160.23,5232.22
FURNITURE,-1159.93,2792.88
FURNITURE,-1154.24,5175.34
FURNITURE,-1154.16,1610.64
FURNITURE,-1152.83,6978.07
FURNITURE,-1151.73,4225.77
FURNITURE,-1150.55,3637.39
FURNITURE,-1148.29,3041.16
FURNITURE,-1148.13,4166.82
FURNITURE,-1147.39,1168
FURNITURE,-1145.01,2286.15
FURNITURE,-1143.74,2598.68
FURNITURE,-1143.36,4550.06
FURNITURE,-1142.78,2805.41
FURNITURE,-1142.49,1606.4
FURNITURE,-1140.77,3142.8
FURNITURE,-1140.56,6029.44
FURNITURE,-1139.39,3907.85
FURNITURE,-1139.15,3081.33
FURNITURE,-1138.29,1665.88
FURNITURE,-1138.06,670.88
FURNITURE,-1136.92,3764.28
FURNITURE,-1136.14,1866.66
FURNITURE,-1134.91,14022.6
FURNITURE,-1134.12,4291.56
FURNITURE,-1133.72,2694.04
FURNITURE,-1131.23,4334.45
FURNITURE,-1130.84,7688.34
FURNITURE,-1130.78,4018.29
FURNITURE,-1130.66,1465.52
FURNITURE,-1129.66,3909.09
FURNITURE,-1128.68,4313.18
FURNITURE,-1128.13,651.33
FURNITURE,-1126.56,15615.89
FURNITURE,-1126.35,4046.25
FURNITURE,-1123.99,5385.45
FURNITURE,-1123.05,803.87
FURNITURE,-1122.64,4595.42
FURNITURE,-1122.27,1088.83
FURNITURE,-1119.28,2104.38
FURNITURE,-1118.62,2435.73
FURNITURE,-1110.5,6615.98
FURNITURE,-1110.4,9017.66
FURNITURE,-1108.73,2681.72
FURNITURE,-1102.29,3596.21
FURNITURE,-1101.2,1280.34
FURNITURE,-1099.46,951.31
FURNITURE,-1097.98,3831.4
FURNITURE,-1096.97,2805.42
FURNITURE,-1096.04,7136.49
FURNITURE,-1095.7,1290.09
FURNITURE,-1095.67,5296.78
FURNITURE,-1089.79,4644.87
FURNITURE,-1088.74,1660.15
FURNITURE,-1088.54,5483.96
FURNITURE,-1087.34,3290.8
FURNITURE,-1086.52,1943.72
FURNITURE,-1086.35,6076.07
FURNITURE,-1084.76,3011.16
FURNITURE,-1082.96,4210.49
FURNITURE,-1082.05,1634.49
FURNITURE,-1080.41,3848.97
FURNITURE,-1079.22,1103.86
FURNITURE,-1077.6,4839.52
FURNITURE,-1077.05,2505.18
FURNITURE,-1071.73,3421.04
FURNITURE,-1069.95,2024.76
FURNITURE,-1068,3828.34
FURNITURE,-1067.5,3361.63
FURNITURE,-1067.14,2546.02
FURNITURE,-1065.93,664.36
FURNITURE,-1065.93,9482.17
FURNITURE,-1063.21,2790.4
FURNITURE,-1062.78,4430.96
FURNITURE,-1062.71,3004.99
FURNITURE,-1061.67,6933.52
FURNITURE,-1059.2,3893.16
FURNITURE,-1055.51,1061.42
FURNITURE,-1055.2,1061.73
FURNITURE,-1053.5,3397.72
FURNITURE,-1052.02,6110.4
FURNITURE,-1051.73,1481.88
FURNITURE,-1050.09,5368.51
FURNITURE,-1049.94,5307.96
FURNITURE,-1049.13,2095.1
FURNITURE,-1047.5,7384.54
FURNITURE,-1045.57,5068.95
FURNITURE,-1044.46,4865.03
FURNITURE,-1044.1,4529.26
FURNITURE,-1038.41,25417.27
FURNITURE,-1038.26,3636.91
FURNITURE,-1037.89,1777.23
FURNITURE,-1036.56,9661.37
FURNITURE,-1036.41,3021.38
FURNITURE,-1035.94,1728.86
FURNITURE,-1032.07,519.25
FURNITURE,-1030.45,1164.02
FURNITURE,-1030.02,2645.88
FURNITURE,-1028.56,1204.54
FURNITURE,-1028.51,1842.31
FURNITURE,-1026.89,1569.29
FURNITURE,-1024.95,6216.67
FURNITURE,-1024.74,3491.71
FURNITURE,-1024.67,572.28
FURNITURE,-1022.85,5535.29
FURNITURE,-1020.55,3808.5
FURNITURE,-1020.33,2355.17
FURNITURE,-1019.41,3180.45
FURNITURE,-1018.62,3218.42
FURNITURE,-1017.76,2375.62
FURNITURE,-1017.13,2794.91
FURNITURE,-1017.09,1884.2
FURNITURE,-1016.5,753.12
FURNITURE,-1015.38,1613.53
FURNITURE,-1015.28,3114.05
FURNITURE,-1015.17,8004.45
FURNITURE,-1015.15,9006.65
FURNITURE,-1014.85,6773.58
FURNITURE,-1013.26,1436.72
FURNITURE,-1012.87,12460.47
FURNITURE,-1010.1,1504.35
FURNITURE,-1008.64,2472.89
FURNITURE,-1008.36,1511.46
FURNITURE,-1008.01,7324.7
FURNITURE,-1007.4,2980.15
FURNITURE,-1007.33,3301.29
FURNITURE,-1007.31,4007.61
FURNITURE,-1005.62,7625.7
FURNITURE,-1004.86,1767.48
FURNITURE,-1004.45,2528.03
FURNITURE,-1001.82,7817.45
FURNITURE,-1001.53,3291.48
FURNITURE,-1000.52,2191.44
FURNITURE,-998.67,3174.35
FURNITURE,-998.62,3925.52
FURNITURE,-997.44,960.97
FURNITURE,-997.11,7809.78
FURNITURE,-995.5,6220.2
FURNITURE,-994.12,1122.81
FURNITURE,-994.08,5790.49
FURNITURE,-993.4,6733.73
FURNITURE,-992.81,2233.23
FURNITURE,-992.36,5452.98
FURNITURE,-991.98,7698.44
FURNITURE,-991.06,1254.39
FURNITURE,-990.8,2016.72
FURNITURE,-990.68,6593.89
FURNITURE,-990.61,5818.74
FURNITURE,-990.58,1830.18
FURNITURE,-989.81,3268.56
FURNITURE,-989.69,2866.14
FURNITURE,-989.4,561.92
FURNITURE,-989.04,4636.62
FURNITURE,-988.46,3645.32
FURNITURE,-988,1223.43
FURNITURE,-986.77,1501.55
FURNITURE,-985.99,4270.78
FURNITURE,-984.23,2307.48
FURNITURE,-983.35,2656.17
FURNITURE,-982.34,3921.37
FURNITURE,-982.19,2509.02
FURNITURE,-979.25,526.44
FURNITURE,-979.07,3509.63
FURNITURE,-979.03,1895.46
FURNITURE,-978.23,4601.32
FURNITURE,-977.7,7929.59
FURNITURE,-976.86,15653.23
FURNITURE,-975.48,3621.91
FURNITURE,-975.32,2548.56
FURNITURE,-975.18,5329.59
FURNITURE,-972.77,5682.27
FURNITURE,-970.68,6041.44
FURNITURE,-969.78,4045.14
FURNITURE,-966.92,1848.2
FURNITURE,-966.91,3316.66
FURNITURE,-966.74,10937.14
FURNITURE,-965.85,2650.77
FURNITURE,-965.29,5233.66
FURNITURE,-965.18,10462.54
FURNITURE,-964.74,4186.25
FURNITURE,-964.24,7726.18
FURNITURE,-963.6,5984.72
FURNITURE,-963.38,6392.19
FURNITURE,-962.14,3390.6
FURNITURE,-959.47,5549.97
FURNITURE,-959.14,2094.91
FURNITURE,-958.38,3638.63
FURNITURE,-957.86,3964.88
FURNITURE,-957.52,874.54
FURNITURE,-956.14,2996.67
FURNITURE,-954.49,3174.84
FURNITURE,-953.43,506.64
FURNITURE,-953.27,2941.55
FURNITURE,-952.75,4644.52
FURNITURE,-952.27,3294.1
FURNITURE,-951.95,3868.88
FURNITURE,-951.6,4852.05
FURNITURE,-948.96,5177.57
FURNITURE,-947.57,3272.91
FURNITURE,-947.02,3578.05
FURNITURE,-946.39,3205.07
FURNITURE,-945.85,705.79
FURNITURE,-945.34,4044.68
FURNITURE,-945.01,823.87
FURNITURE,-943.93,3293.11
FURNITURE,-943.26,3805.94
FURNITURE,-940.24,3416.38
FURNITURE,-939.7,2415.38
FURNITURE,-939.29,1931.53
FURNITURE,-938.73,2381.81
FURNITURE,-938.64,2873.84
FURNITURE,-936.27,5368.5
FURNITURE,-935.19,7375.91
FURNITURE,-935.15,3064.57
FURNITURE,-933.65,10952.01
FURNITURE,-933.16,6177.53
FURNITURE,-932.41,2206.47
FURNITURE,-932.12,7181.6
FURNITURE,-931.41,2294.63
FURNITURE,-931.16,3582.79
FURNITURE,-929.81,1054.81
FURNITURE,-929.09,6066.76
FURNITURE,-928.79,3812.76
FURNITURE,-928.35,3990.97
FURNITURE,-927.48,4352.88
FURNITURE,-926.35,4610.06
FURNITURE,-925.64,4796.47
FURNITURE,-925.13,5679.59
FURNITURE,-924.09,3205.24
FURNITURE,-922.69,1663.01
FURNITURE,-922.39,3067.56
FURNITURE,-920.77,3858.7
FURNITURE,-920.45,3489.18
FURNITURE,-919.92,1814.19
FURNITURE,-919.55,2951.7
FURNITURE,-918.91,3660.67
FURNITURE,-916.01,5337.48
FURNITURE,-915.08,853.8
FURNITURE,-914.31,3506.15
FURNITURE,-912.55,4968.51
FURNITURE,-912.19,4515.46
FURNITURE,-911.94,4913.69
FURNITURE,-908.86,877.3
FURNITURE,-907.78,3726
FURNITURE,-907.64,12026.25
FURNITURE,-906.12,9086.49
FURNITURE,-904.75,3224.58
FURNITURE,-904.47,4208.53
FURNITURE,-904.28,1996.41
FURNITURE,-902.17,5456.73
FURNITURE,-901.19,4650.07
FURNITURE,-900.04,2192.17
FURNITURE,-899.13,6748.59
FURNITURE,-896.7,3092.31
FURNITURE,-892.94,1042.06
FURNITURE,-890.98,1476.12
FURNITURE,-890.18,7047.16
FURNITURE,-889.92,1570.28
FURNITURE,-889.23,3099.78
FURNITURE,-888.02,1953.64
FURNITURE,-887.17,4177.66
FURNITURE,-886.62,3822.92
FURNITURE,-884.71,3631.74
FURNITURE,-883.75,3534.51
FURNITURE,-883.57,2065.01
FURNITURE,-883.23,7555.25
FURNITURE,-883.22,5633.63
FURNITURE,-883.22,5633.63
FURNITURE,-881.82,9681.79
FURNITURE,-881.15,2180.83
FURNITURE,-880.08,2783.84
FURNITURE,-879.8,2601.02
FURNITURE,-878.4,4050.98
FURNITURE,-877.53,6411.94
FURNITURE,-876.5,2215.71
FURNITURE,-876.38,7570.23
FURNITURE,-876.02,2008.36
FURNITURE,-872.84,2816.65
FURNITURE,-872.8,3278.66
FURNITURE,-872.42,2186.63
FURNITURE,-871.53,2511.4
FURNITURE,-871.41,5184.13
FURNITURE,-871.07,497.74
FURNITURE,-868.13,1343.71
FURNITURE,-867.97,1761.9
FURNITURE,-867.81,3962.49
FURNITURE,-863.42,2767.24
FURNITURE,-860.72,8329.08
FURNITURE,-860.31,7527.6
FURNITURE,-859.25,11940.43
FURNITURE,-858.8,3681.06
FURNITURE,-858.29,2285.94
FURNITURE,-857.91,1885.92
FURNITURE,-856.24,3812.36
FURNITURE,-855.88,3861.74
FURNITURE,-855.65,10095.92
FURNITURE,-855.27,2837.83
FURNITURE,-854.73,4097.63
FURNITURE,-852.96,2693.72
FURNITURE,-852.64,2251.66
FURNITURE,-849.24,4404.74
FURNITURE,-847.89,4083.19
FURNITURE,-846.38,922.5
FURNITURE,-845.65,2146.81
FURNITURE,-844.18,2477.67
FURNITURE,-843.45,6630.31
FURNITURE,-843.05,1754.36
FURNITURE,-840.74,3342.12
FURNITURE,-840.45,3351.08
FURNITURE,-839.18,2372.48
FURNITURE,-838.72,4678.15
FURNITURE,-837.29,1320.97
FURNITURE,-837.16,539.21
FURNITURE,-836.97,2451.83
FURNITURE,-836.05,2056.67
FURNITURE,-835.89,3150.33
FURNITURE,-833.53,3947.75
FURNITURE,-833.39,1131.38
FURNITURE,-832.68,2485.71
FURNITURE,-832.65,6730.07
FURNITURE,-832.35,2593.08
FURNITURE,-830.85,3784.22
FURNITURE,-829.26,4249.58
FURNITURE,-828.79,1801.08
FURNITURE,-828.74,3977.22
FURNITURE,-825.27,3771.74
FURNITURE,-824.85,4580.32
FURNITURE,-824.29,4389.68
FURNITURE,-823.2,5672.94
FURNITURE,-821.39,2604.04
FURNITURE,-821.22,4009.25
FURNITURE,-821.17,3058.28
FURNITURE,-820.78,2494.69
FURNITURE,-820.48,6587.7
FURNITURE,-819.07,3559.07
FURNITURE,-814.93,6150.65
FURNITURE,-812.45,840.38
FURNITURE,-811.95,7017.8
FURNITURE,-811,1903.71
FURNITURE,-810.43,3213.78
FURNITURE,-809.76,5496.81
FURNITURE,-809.36,17024.98
FURNITURE,-806.88,846.97
FURNITURE,-805.73,3179.66
FURNITURE,-805.04,774.32
FURNITURE,-804.79,2580.67
FURNITURE,-804.59,4661.09
FURNITURE,-804.49,5648.01
FURNITURE,-804.32,5554.58
FURNITURE,-803.4,5254.05
FURNITURE,-803.22,1660.45
FURNITURE,-802.72,1418.48
FURNITURE,-802.67,13681.17
FURNITURE,-801.51,5371.98
FURNITURE,-801.27,6171.57
FURNITURE,-799.65,854.2
FURNITURE,-799.47,5730.76
FURNITURE,-799.3,4864.01
FURNITURE,-799.04,1715.41
FURNITURE,-797.76,3387.76
FURNITURE,-795.48,1654.5
FURNITURE,-795.33,2437.54
FURNITURE,-794.24,4320.93
FURNITURE,-794.1,2370.43
FURNITURE,-793.92,2195.74
FURNITURE,-792.97,2359.98
FURNITURE,-792.91,2919.97
FURNITURE,-790.56,3021.92
FURNITURE,-790.34,5144.74
FURNITURE,-790.21,3198.8
FURNITURE,-789.47,1621.61
FURNITURE,-788.81,5633.55
FURNITURE,-788.31,1530.04
FURNITURE,-787.85,549.19
FURNITURE,-785.55,3682.48
FURNITURE,-785.21,3451.83
FURNITURE,-783.46,1824.9
FURNITURE,-782.38,2350.36
FURNITURE,-782.37,4530.96
FURNITURE,-781.92,4258.52
FURNITURE,-781.34,798.02
FURNITURE,-781.21,12066.43
FURNITURE,-780.8,4957.72
FURNITURE,-780.5,3388.49
FURNITURE,-779.88,1541.15
FURNITURE,-779.19,518.53
FURNITURE,-775.91,3304.38
FURNITURE,-774.55,5690.2
FURNITURE,-774,1153.86
FURNITURE,-772.7,1949.06
FURNITURE,-772.49,2289.49
FURNITURE,-772.04,5136.92
FURNITURE,-771.17,6555.85
FURNITURE,-769.64,11878.42
FURNITURE,-768.12,6967.16
FURNITURE,-767.3,4255.95
FURNITURE,-764.91,1685.07
FURNITURE,-764.91,6139.34
FURNITURE,-763.42,3333.52
FURNITURE,-762.88,4648.89
FURNITURE,-762.45,2701.69
FURNITURE,-761.32,2697.39
FURNITURE,-761.3,8145.99
FURNITURE,-760.57,6551.02
FURNITURE,-760.12,2414.22
FURNITURE,-760,1666.14
FURNITURE,-759.72,6803
FURNITURE,-759.56,4501.46
FURNITURE,-758.25,2034.72
FURNITURE,-756.14,2025.87
FURNITURE,-754.45,2704.26
FURNITURE,-753.69,3200.65
FURNITURE,-753.37,2444.81
FURNITURE,-753.29,768.25
FURNITURE,-752.6,2851.17
FURNITURE,-752.6,10690.89
FURNITURE,-751.76,2732.36
FURNITURE,-750.83,3400.63
FURNITURE,-749.2,1782.43
FURNITURE,-747.95,2592.68
FURNITURE,-747.65,3237.35
FURNITURE,-747.21,10738.5
FURNITURE,-746.75,3239.47
FURNITURE,-746.72,2217.88
FURNITURE,-746.47,3490.02
FURNITURE,-745.53,5250.91
FURNITURE,-745,5428.49
FURNITURE,-744.13,6412.21
FURNITURE,-743.47,6148.88
FURNITURE,-741.6,1980.16
FURNITURE,-741.41,7148.91
FURNITURE,-741.34,1669.74
FURNITURE,-739.38,519.01
FURNITURE,-738.42,9736.99
FURNITURE,-738.06,3286.15
FURNITURE,-737.98,3715.66
FURNITURE,-737.26,2556.99
FURNITURE,-735.27,2417.68
FURNITURE,-735.14,6089.04
FURNITURE,-734.37,2795.55
FURNITURE,-734.3,3453.27
FURNITURE,-734.04,2166.65
FURNITURE,-733.82,3294.23
FURNITURE,-733.17,4087.66
FURNITURE,-731.84,3121.08
FURNITURE,-731.69,5098.18
FURNITURE,-730.8,5496.99
FURNITURE,-730.28,3132.96
FURNITURE,-730.05,3171.08
FURNITURE,-729.19,2052.82
FURNITURE,-728.97,5164.64
FURNITURE,-728.77,2921.39
FURNITURE,-728.61,4368.01
FURNITURE,-727.59,851.77
FURNITURE,-727.14,918.3
