none_Order_Priority_nk,none_PID_ok,none_Prod_TypeC_nk,none_Ship_Date_ok,sum_Fill_Time_ok
1-URGENT,54719,BINDERS AND BINDER ACCESSORIES,2002-12-28 00:00:00,2
1-URGENT,54720,OFFICE FURNISHINGS,2002-12-27 00:00:00,1
1-URGENT,54721,TELEPHONES AND COMMUNICATION,2002-12-27 00:00:00,1
1-URGENT,54722,CHAIRS & CHAIRMATS,2002-12-27 00:00:00,1
1-URGENT,54723,APPLIANCES,2002-12-27 00:00:00,1
1-URGENT,54754,STORAGE & ORGANIZATION,2002-12-30 00:00:00,3
1-URGENT,54755,OFFICE MACHINES,2002-12-28 00:00:00,1
1-URGENT,54756,LABELS,2002-12-29 00:00:00,2
1-URGENT,54800,BINDERS AND BINDER ACCESSORIES,2002-12-31 00:00:00,2
1-URGENT,54801,BINDERS AND BINDER ACCESSORIES,2002-12-31 00:00:00,2
1-URGENT,54802,OFFICE FURNISHINGS,2002-12-30 00:00:00,1
1-URGENT,54803,PAPER,2002-12-31 00:00:00,2
1-URGENT,54856,PAPER,2003-01-01 00:00:00,1
1-URGENT,54858,COMPUTER PERIPHERALS,2003-01-01 00:00:00,1
2-HIGH,54360,PAPER,2002-12-15 00:00:00,2
2-HIGH,54361,PAPER,2002-12-15 00:00:00,2
2-HIGH,54376,OFFICE FURNISHINGS,2002-12-15 00:00:00,2
2-HIGH,54378,PAPER,2002-12-15 00:00:00,2
2-HIGH,54382,COMPUTER PERIPHERALS,2002-12-15 00:00:00,2
2-HIGH,54394,APPLIANCES,2002-12-17 00:00:00,3
2-HIGH,54395,PAPER,2002-12-15 00:00:00,1
2-HIGH,54396,PENS & ART SUPPLIES,2002-12-15 00:00:00,1
2-HIGH,54402,STORAGE & ORGANIZATION,2002-12-15 00:00:00,1
2-HIGH,54403,BINDERS AND BINDER ACCESSORIES,2002-12-15 00:00:00,1
2-HIGH,54404,ENVELOPES,2002-12-15 00:00:00,1
2-HIGH,54405,OFFICE MACHINES,2002-12-16 00:00:00,2
2-HIGH,54406,TELEPHONES AND COMMUNICATION,2002-12-16 00:00:00,2
2-HIGH,54407,TELEPHONES AND COMMUNICATION,2002-12-15 00:00:00,1
2-HIGH,54435,STORAGE & ORGANIZATION,2002-12-17 00:00:00,2
2-HIGH,54436,PENS & ART SUPPLIES,2002-12-17 00:00:00,2
2-HIGH,54437,STORAGE & ORGANIZATION,2002-12-17 00:00:00,2
2-HIGH,54438,PENS & ART SUPPLIES,2002-12-17 00:00:00,2
2-HIGH,54439,APPLIANCES,2002-12-16 00:00:00,1
2-HIGH,54440,PAPER,2002-12-17 00:00:00,2
2-HIGH,54441,OFFICE FURNISHINGS,2002-12-16 00:00:00,1
2-HIGH,54442,TABLES,2002-12-16 00:00:00,1
2-HIGH,54443,COMPUTER PERIPHERALS,2002-12-17 00:00:00,2
2-HIGH,54444,TELEPHONES AND COMMUNICATION,2002-12-17 00:00:00,2
2-HIGH,54454,PENS & ART SUPPLIES,2002-12-17 00:00:00,1
2-HIGH,54455,PAPER,2002-12-17 00:00:00,1
2-HIGH,54456,PAPER,2002-12-17 00:00:00,1
2-HIGH,54457,BINDERS AND BINDER ACCESSORIES,2002-12-18 00:00:00,2
2-HIGH,54458,PENS & ART SUPPLIES,2002-12-19 00:00:00,3
2-HIGH,54479,BINDERS AND BINDER ACCESSORIES,2002-12-17 00:00:00,0
2-HIGH,54480,APPLIANCES,2002-12-18 00:00:00,1
2-HIGH,54481,TELEPHONES AND COMMUNICATION,2002-12-18 00:00:00,1
2-HIGH,54487,TABLES,2002-12-19 00:00:00,2
2-HIGH,54488,OFFICE FURNISHINGS,2002-12-18 00:00:00,1
2-HIGH,54489,COMPUTER PERIPHERALS,2002-12-19 00:00:00,2
2-HIGH,54490,COMPUTER PERIPHERALS,2002-12-18 00:00:00,1
2-HIGH,54491,"SCISSORS, RULERS AND TRIMMERS",2002-12-17 00:00:00,0
2-HIGH,54492,PAPER,2002-12-18 00:00:00,1
2-HIGH,54500,STORAGE & ORGANIZATION,2002-12-19 00:00:00,1
2-HIGH,54501,PENS & ART SUPPLIES,2002-12-18 00:00:00,0
2-HIGH,54502,TELEPHONES AND COMMUNICATION,2002-12-20 00:00:00,2
2-HIGH,54503,CHAIRS & CHAIRMATS,2002-12-20 00:00:00,2
2-HIGH,54524,BINDERS AND BINDER ACCESSORIES,2002-12-20 00:00:00,2
2-HIGH,54525,"SCISSORS, RULERS AND TRIMMERS",2002-12-20 00:00:00,2
2-HIGH,54535,OFFICE FURNISHINGS,2002-12-21 00:00:00,2
2-HIGH,54536,OFFICE FURNISHINGS,2002-12-22 00:00:00,3
2-HIGH,54537,PENS & ART SUPPLIES,2002-12-21 00:00:00,2
2-HIGH,54538,PAPER,2002-12-20 00:00:00,1
2-HIGH,54539,RUBBER BANDS,2002-12-20 00:00:00,1
2-HIGH,54540,PENS & ART SUPPLIES,2002-12-20 00:00:00,1
2-HIGH,54613,PAPER,2002-12-23 00:00:00,1
2-HIGH,54614,PAPER,2002-12-24 00:00:00,2
2-HIGH,54615,PAPER,2002-12-23 00:00:00,1
2-HIGH,54616,BINDERS AND BINDER ACCESSORIES,2002-12-24 00:00:00,2
2-HIGH,54617,OFFICE FURNISHINGS,2002-12-22 00:00:00,0
2-HIGH,54666,OFFICE FURNISHINGS,2002-12-26 00:00:00,2
2-HIGH,54667,BINDERS AND BINDER ACCESSORIES,2002-12-25 00:00:00,1
2-HIGH,54679,TELEPHONES AND COMMUNICATION,2002-12-25 00:00:00,1
2-HIGH,54680,APPLIANCES,2002-12-25 00:00:00,1
2-HIGH,54681,COMPUTER PERIPHERALS,2002-12-24 00:00:00,0
2-HIGH,54682,STORAGE & ORGANIZATION,2002-12-27 00:00:00,3
2-HIGH,54683,STORAGE & ORGANIZATION,2002-12-26 00:00:00,2
2-HIGH,54684,BINDERS AND BINDER ACCESSORIES,2002-12-24 00:00:00,0
2-HIGH,54710,OFFICE MACHINES,2002-12-28 00:00:00,2
2-HIGH,54711,BINDERS AND BINDER ACCESSORIES,2002-12-28 00:00:00,2
2-HIGH,54712,PAPER,2002-12-28 00:00:00,2
2-HIGH,54713,BINDERS AND BINDER ACCESSORIES,2002-12-26 00:00:00,0
2-HIGH,54714,OFFICE FURNISHINGS,2002-12-28 00:00:00,2
2-HIGH,54715,PENS & ART SUPPLIES,2002-12-28 00:00:00,2
2-HIGH,54716,STORAGE & ORGANIZATION,2002-12-28 00:00:00,2
2-HIGH,54730,TELEPHONES AND COMMUNICATION,2002-12-28 00:00:00,2
2-HIGH,54731,COMPUTER PERIPHERALS,2002-12-26 00:00:00,0
2-HIGH,54742,OFFICE FURNISHINGS,2002-12-28 00:00:00,1
2-HIGH,54757,PAPER,2002-12-28 00:00:00,1
2-HIGH,54766,OFFICE MACHINES,2002-12-30 00:00:00,2
2-HIGH,54774,"SCISSORS, RULERS AND TRIMMERS",2002-12-29 00:00:00,1
2-HIGH,54775,TELEPHONES AND COMMUNICATION,2002-12-28 00:00:00,0
2-HIGH,54776,OFFICE MACHINES,2002-12-30 00:00:00,2
2-HIGH,54777,LABELS,2002-12-29 00:00:00,1
2-HIGH,54778,COMPUTER PERIPHERALS,2002-12-28 00:00:00,0
2-HIGH,54791,CHAIRS & CHAIRMATS,2002-12-31 00:00:00,2
2-HIGH,54792,OFFICE FURNISHINGS,2002-12-29 00:00:00,0
2-HIGH,54793,ENVELOPES,2002-12-31 00:00:00,2
2-HIGH,54794,PENS & ART SUPPLIES,2002-12-31 00:00:00,2
2-HIGH,54795,TELEPHONES AND COMMUNICATION,2002-12-30 00:00:00,1
2-HIGH,54796,COMPUTER PERIPHERALS,2002-12-31 00:00:00,2
2-HIGH,54797,OFFICE FURNISHINGS,2002-12-30 00:00:00,1
2-HIGH,54817,TELEPHONES AND COMMUNICATION,2003-01-01 00:00:00,2
2-HIGH,54818,BINDERS AND BINDER ACCESSORIES,2002-12-31 00:00:00,1
2-HIGH,54819,BINDERS AND BINDER ACCESSORIES,2002-12-31 00:00:00,1
2-HIGH,54820,PAPER,2002-12-31 00:00:00,1
2-HIGH,54822,PAPER,2003-01-01 00:00:00,2
2-HIGH,54823,OFFICE FURNISHINGS,2003-01-01 00:00:00,2
2-HIGH,54831,PENS & ART SUPPLIES,2003-01-01 00:00:00,2
2-HIGH,54832,TELEPHONES AND COMMUNICATION,2002-12-30 00:00:00,0
2-HIGH,54833,CHAIRS & CHAIRMATS,2003-01-01 00:00:00,2
3-MEDIUM,54339,PAPER,2002-12-15 00:00:00,3
3-MEDIUM,54389,PAPER,2002-12-15 00:00:00,1
3-MEDIUM,54390,TELEPHONES AND COMMUNICATION,2002-12-16 00:00:00,2
3-MEDIUM,54391,COMPUTER PERIPHERALS,2002-12-16 00:00:00,2
3-MEDIUM,54392,APPLIANCES,2002-12-15 00:00:00,1
3-MEDIUM,54530,APPLIANCES,2002-12-21 00:00:00,2
3-MEDIUM,54531,OFFICE FURNISHINGS,2002-12-20 00:00:00,1
3-MEDIUM,54532,BINDERS AND BINDER ACCESSORIES,2002-12-21 00:00:00,2
3-MEDIUM,54533,OFFICE MACHINES,2002-12-20 00:00:00,1
3-MEDIUM,54534,BINDERS AND BINDER ACCESSORIES,2002-12-22 00:00:00,3
3-MEDIUM,54544,ENVELOPES,2002-12-20 00:00:00,1
3-MEDIUM,54545,PAPER,2002-12-20 00:00:00,1
3-MEDIUM,54546,PENS & ART SUPPLIES,2002-12-20 00:00:00,1
3-MEDIUM,54547,CHAIRS & CHAIRMATS,2002-12-21 00:00:00,2
3-MEDIUM,54548,PENS & ART SUPPLIES,2002-12-21 00:00:00,2
3-MEDIUM,54549,"SCISSORS, RULERS AND TRIMMERS",2002-12-21 00:00:00,2
3-MEDIUM,54556,RUBBER BANDS,2002-12-20 00:00:00,0
3-MEDIUM,54557,CHAIRS & CHAIRMATS,2002-12-21 00:00:00,1
3-MEDIUM,54561,COMPUTER PERIPHERALS,2002-12-22 00:00:00,2
3-MEDIUM,54562,OFFICE FURNISHINGS,2002-12-20 00:00:00,0
3-MEDIUM,54630,RUBBER BANDS,2002-12-24 00:00:00,1
3-MEDIUM,54631,RUBBER BANDS,2002-12-24 00:00:00,1
3-MEDIUM,54632,BINDERS AND BINDER ACCESSORIES,2002-12-23 00:00:00,0
3-MEDIUM,54633,OFFICE MACHINES,2002-12-24 00:00:00,1
3-MEDIUM,54634,STORAGE & ORGANIZATION,2002-12-25 00:00:00,2
3-MEDIUM,54635,BINDERS AND BINDER ACCESSORIES,2002-12-25 00:00:00,2
3-MEDIUM,54636,BINDERS AND BINDER ACCESSORIES,2002-12-23 00:00:00,0
3-MEDIUM,54637,BINDERS AND BINDER ACCESSORIES,2002-12-24 00:00:00,1
3-MEDIUM,54638,OFFICE FURNISHINGS,2002-12-25 00:00:00,2
3-MEDIUM,54639,BINDERS AND BINDER ACCESSORIES,2002-12-24 00:00:00,1
3-MEDIUM,54640,PENS & ART SUPPLIES,2002-12-24 00:00:00,1
3-MEDIUM,54649,TELEPHONES AND COMMUNICATION,2002-12-24 00:00:00,1
3-MEDIUM,54650,PAPER,2002-12-24 00:00:00,1
3-MEDIUM,54651,PAPER,2002-12-23 00:00:00,0
3-MEDIUM,54652,BINDERS AND BINDER ACCESSORIES,2002-12-25 00:00:00,2
3-MEDIUM,54653,COMPUTER PERIPHERALS,2002-12-24 00:00:00,1
3-MEDIUM,54654,TELEPHONES AND COMMUNICATION,2002-12-24 00:00:00,1
3-MEDIUM,54655,TABLES,2002-12-25 00:00:00,2
3-MEDIUM,54656,STORAGE & ORGANIZATION,2002-12-24 00:00:00,1
3-MEDIUM,54657,STORAGE & ORGANIZATION,2002-12-24 00:00:00,1
3-MEDIUM,54658,COMPUTER PERIPHERALS,2002-12-24 00:00:00,1
3-MEDIUM,54668,RUBBER BANDS,2002-12-25 00:00:00,1
3-MEDIUM,54669,RUBBER BANDS,2002-12-25 00:00:00,1
3-MEDIUM,54670,BINDERS AND BINDER ACCESSORIES,2002-12-26 00:00:00,2
3-MEDIUM,54671,TELEPHONES AND COMMUNICATION,2002-12-26 00:00:00,2
3-MEDIUM,54672,PENS & ART SUPPLIES,2002-12-25 00:00:00,1
3-MEDIUM,54673,PENS & ART SUPPLIES,2002-12-26 00:00:00,2
3-MEDIUM,54674,TABLES,2002-12-26 00:00:00,2
3-MEDIUM,54685,BINDERS AND BINDER ACCESSORIES,2002-12-26 00:00:00,2
3-MEDIUM,54686,COMPUTER PERIPHERALS,2002-12-26 00:00:00,2
3-MEDIUM,54687,TELEPHONES AND COMMUNICATION,2002-12-26 00:00:00,2
3-MEDIUM,54700,STORAGE & ORGANIZATION,2002-12-27 00:00:00,2
3-MEDIUM,54701,ENVELOPES,2002-12-25 00:00:00,0
3-MEDIUM,54702,PENS & ART SUPPLIES,2002-12-26 00:00:00,1
3-MEDIUM,54703,TELEPHONES AND COMMUNICATION,2002-12-27 00:00:00,2
3-MEDIUM,54737,BINDERS AND BINDER ACCESSORIES,2002-12-28 00:00:00,2
3-MEDIUM,54738,BOOKCASES,2002-12-27 00:00:00,1
3-MEDIUM,54739,BINDERS AND BINDER ACCESSORIES,2002-12-28 00:00:00,2
3-MEDIUM,54740,PENS & ART SUPPLIES,2002-12-28 00:00:00,2
3-MEDIUM,54741,APPLIANCES,2002-12-27 00:00:00,1
3-MEDIUM,54748,COMPUTER PERIPHERALS,2002-12-28 00:00:00,1
3-MEDIUM,54749,COMPUTER PERIPHERALS,2002-12-30 00:00:00,3
3-MEDIUM,54750,OFFICE MACHINES,2002-12-29 00:00:00,2
3-MEDIUM,54751,TELEPHONES AND COMMUNICATION,2002-12-28 00:00:00,1
3-MEDIUM,54752,OFFICE FURNISHINGS,2002-12-29 00:00:00,2
3-MEDIUM,54753,PAPER,2002-12-28 00:00:00,1
3-MEDIUM,54779,BINDERS AND BINDER ACCESSORIES,2002-12-29 00:00:00,0
3-MEDIUM,54780,OFFICE FURNISHINGS,2002-12-29 00:00:00,0
3-MEDIUM,54781,PAPER,2002-12-31 00:00:00,2
3-MEDIUM,54782,PENS & ART SUPPLIES,2002-12-31 00:00:00,2
3-MEDIUM,54783,PENS & ART SUPPLIES,2002-12-30 00:00:00,1
3-MEDIUM,54784,BINDERS AND BINDER ACCESSORIES,2002-12-30 00:00:00,1
3-MEDIUM,54785,TELEPHONES AND COMMUNICATION,2002-12-29 00:00:00,0
3-MEDIUM,54813,APPLIANCES,2002-12-31 00:00:00,1
3-MEDIUM,54814,STORAGE & ORGANIZATION,2003-01-01 00:00:00,2
3-MEDIUM,54815,BINDERS AND BINDER ACCESSORIES,2002-12-31 00:00:00,1
3-MEDIUM,54816,COMPUTER PERIPHERALS,2002-12-31 00:00:00,1
4-NOT SPECIFIED,54365,TELEPHONES AND COMMUNICATION,2002-12-15 00:00:00,2
4-NOT SPECIFIED,54366,BINDERS AND BINDER ACCESSORIES,2002-12-16 00:00:00,3
4-NOT SPECIFIED,54367,APPLIANCES,2002-12-16 00:00:00,3
4-NOT SPECIFIED,54368,OFFICE FURNISHINGS,2002-12-15 00:00:00,2
4-NOT SPECIFIED,54398,STORAGE & ORGANIZATION,2002-12-16 00:00:00,2
4-NOT SPECIFIED,54399,BINDERS AND BINDER ACCESSORIES,2002-12-16 00:00:00,2
4-NOT SPECIFIED,54400,PENS & ART SUPPLIES,2002-12-15 00:00:00,1
4-NOT SPECIFIED,54401,TELEPHONES AND COMMUNICATION,2002-12-16 00:00:00,2
4-NOT SPECIFIED,54428,TABLES,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54429,OFFICE FURNISHINGS,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54430,PAPER,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54431,PAPER,2002-12-17 00:00:00,2
4-NOT SPECIFIED,54432,BINDERS AND BINDER ACCESSORIES,2002-12-17 00:00:00,2
4-NOT SPECIFIED,54433,COPIERS AND FAX,2002-12-17 00:00:00,2
4-NOT SPECIFIED,54434,OFFICE MACHINES,2002-12-17 00:00:00,2
4-NOT SPECIFIED,54445,BINDERS AND BINDER ACCESSORIES,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54446,PAPER,2002-12-15 00:00:00,0
4-NOT SPECIFIED,54447,PAPER,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54448,TELEPHONES AND COMMUNICATION,2002-12-17 00:00:00,2
4-NOT SPECIFIED,54449,OFFICE MACHINES,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54450,BOOKCASES,2002-12-17 00:00:00,2
4-NOT SPECIFIED,54451,TABLES,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54452,COMPUTER PERIPHERALS,2002-12-17 00:00:00,2
4-NOT SPECIFIED,54453,STORAGE & ORGANIZATION,2002-12-16 00:00:00,1
4-NOT SPECIFIED,54497,COMPUTER PERIPHERALS,2002-12-19 00:00:00,1
4-NOT SPECIFIED,54498,BINDERS AND BINDER ACCESSORIES,2002-12-19 00:00:00,1
4-NOT SPECIFIED,54499,OFFICE FURNISHINGS,2002-12-19 00:00:00,1
4-NOT SPECIFIED,54511,OFFICE MACHINES,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54512,APPLIANCES,2002-12-19 00:00:00,1
4-NOT SPECIFIED,54513,COMPUTER PERIPHERALS,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54514,CHAIRS & CHAIRMATS,2002-12-18 00:00:00,0
4-NOT SPECIFIED,54515,BINDERS AND BINDER ACCESSORIES,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54516,APPLIANCES,2002-12-19 00:00:00,1
4-NOT SPECIFIED,54517,TELEPHONES AND COMMUNICATION,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54518,OFFICE MACHINES,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54519,APPLIANCES,2002-12-18 00:00:00,0
4-NOT SPECIFIED,54520,PENS & ART SUPPLIES,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54521,PAPER,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54522,STORAGE & ORGANIZATION,2002-12-21 00:00:00,3
4-NOT SPECIFIED,54523,BINDERS AND BINDER ACCESSORIES,2002-12-20 00:00:00,2
4-NOT SPECIFIED,54526,TELEPHONES AND COMMUNICATION,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54527,PAPER,2002-12-20 00:00:00,1
4-NOT SPECIFIED,54528,BOOKCASES,2002-12-19 00:00:00,0
4-NOT SPECIFIED,54529,LABELS,2002-12-20 00:00:00,1
4-NOT SPECIFIED,54541,OFFICE FURNISHINGS,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54542,OFFICE FURNISHINGS,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54543,PAPER,2002-12-22 00:00:00,3
4-NOT SPECIFIED,54550,PENS & ART SUPPLIES,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54551,BINDERS AND BINDER ACCESSORIES,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54552,CHAIRS & CHAIRMATS,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54553,TELEPHONES AND COMMUNICATION,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54554,TELEPHONES AND COMMUNICATION,2002-12-21 00:00:00,2
4-NOT SPECIFIED,54555,COMPUTER PERIPHERALS,2002-12-22 00:00:00,3
4-NOT SPECIFIED,54565,BINDERS AND BINDER ACCESSORIES,2002-12-22 00:00:00,1
4-NOT SPECIFIED,54566,ENVELOPES,2002-12-23 00:00:00,2
4-NOT SPECIFIED,54567,CHAIRS & CHAIRMATS,2002-12-24 00:00:00,3
4-NOT SPECIFIED,54568,COMPUTER PERIPHERALS,2002-12-23 00:00:00,2
4-NOT SPECIFIED,54569,TELEPHONES AND COMMUNICATION,2002-12-24 00:00:00,3
4-NOT SPECIFIED,54570,PAPER,2002-12-23 00:00:00,2
4-NOT SPECIFIED,54571,BOOKCASES,2002-12-23 00:00:00,2
4-NOT SPECIFIED,54578,RUBBER BANDS,2002-12-23 00:00:00,2
4-NOT SPECIFIED,54579,APPLIANCES,2002-12-21 00:00:00,0
4-NOT SPECIFIED,54580,TELEPHONES AND COMMUNICATION,2002-12-23 00:00:00,2
4-NOT SPECIFIED,54581,CHAIRS & CHAIRMATS,2002-12-23 00:00:00,2
4-NOT SPECIFIED,54582,PAPER,2002-12-22 00:00:00,1
4-NOT SPECIFIED,54599,TABLES,2002-12-25 00:00:00,3
4-NOT SPECIFIED,54600,TELEPHONES AND COMMUNICATION,2002-12-24 00:00:00,2
4-NOT SPECIFIED,54608,COMPUTER PERIPHERALS,2002-12-23 00:00:00,1
4-NOT SPECIFIED,54609,COMPUTER PERIPHERALS,2002-12-22 00:00:00,0
4-NOT SPECIFIED,54610,ENVELOPES,2002-12-24 00:00:00,2
4-NOT SPECIFIED,54611,BINDERS AND BINDER ACCESSORIES,2002-12-23 00:00:00,1
4-NOT SPECIFIED,54612,TABLES,2002-12-24 00:00:00,2
4-NOT SPECIFIED,54641,TABLES,2002-12-23 00:00:00,0
4-NOT SPECIFIED,54688,OFFICE MACHINES,2002-12-27 00:00:00,2
4-NOT SPECIFIED,54689,TELEPHONES AND COMMUNICATION,2002-12-26 00:00:00,1
4-NOT SPECIFIED,54690,COMPUTER PERIPHERALS,2002-12-26 00:00:00,1
4-NOT SPECIFIED,54691,BINDERS AND BINDER ACCESSORIES,2002-12-28 00:00:00,3
4-NOT SPECIFIED,54692,PENS & ART SUPPLIES,2002-12-27 00:00:00,2
4-NOT SPECIFIED,54693,PAPER,2002-12-25 00:00:00,0
4-NOT SPECIFIED,54704,PAPER,2002-12-27 00:00:00,2
4-NOT SPECIFIED,54705,APPLIANCES,2002-12-27 00:00:00,2
4-NOT SPECIFIED,54706,CHAIRS & CHAIRMATS,2002-12-26 00:00:00,1
4-NOT SPECIFIED,54707,OFFICE FURNISHINGS,2002-12-27 00:00:00,2
4-NOT SPECIFIED,54708,PAPER,2002-12-27 00:00:00,2
4-NOT SPECIFIED,54709,BINDERS AND BINDER ACCESSORIES,2002-12-26 00:00:00,1
4-NOT SPECIFIED,54724,BOOKCASES,2002-12-27 00:00:00,1
4-NOT SPECIFIED,54725,OFFICE FURNISHINGS,2002-12-28 00:00:00,2
4-NOT SPECIFIED,54728,BINDERS AND BINDER ACCESSORIES,2002-12-27 00:00:00,1
4-NOT SPECIFIED,54729,APPLIANCES,2002-12-28 00:00:00,2
4-NOT SPECIFIED,54732,LABELS,2002-12-28 00:00:00,2
4-NOT SPECIFIED,54733,PAPER,2002-12-28 00:00:00,2
4-NOT SPECIFIED,54734,PENS & ART SUPPLIES,2002-12-27 00:00:00,1
